 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2010
"Município";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"240630 LAGOA DE PEDRAS";45,36;18,34;25,62;10,68;100,00
"240640 LAGOA DE VELHOS";39,28;17,89;31,33;11,51;100,00
"240650 LAGOA NOVA";40,05;19,05;30,06;10,84;100,00
"240660 LAGOA SALGADA";43,66;14,53;30,56;11,25;100,00
"240670 LAJES";34,71;16,32;38,23;10,74;100,00
"240680 LAJES PINTADAS";38,09;13,14;40,19;8,59;100,00
"240690 LUCRECIA";41,31;14,92;38,42;5,35;100,00
"240700 LUIS GOMES";36,89;16,06;35,32;11,73;100,00
"240710 MACAIBA";31,88;15,12;41,64;11,35;100,00
"240720 MACAU";29,10;15,49;43,77;11,63;100,00
"240725 MAJOR SALES";44,88;15,39;33,44;6,30;100,00
"240730 MARCELINO VIEIRA";42,34;13,77;33,33;10,56;100,00
"240740 MARTINS";35,51;16,51;37,62;10,35;100,00
"240750 MAXARANGUAPE";35,44;16,53;35,58;12,45;100,00
"240760 MESSIAS TARGINO";34,14;15,49;42,60;7,78;100,00
"240770 MONTANHAS";41,49;16,09;28,54;13,88;100,00
"240780 MONTE ALEGRE";39,49;14,55;34,52;11,44;100,00
"240790 MONTE DAS GAMELEIRAS";33,56;13,02;34,83;18,59;100,00
"240800 MOSSORO";21,64;13,36;55,87;9,13;100,00
"240810 NATAL";15,76;12,20;64,52;7,52;100,00
"240820 NISIA FLORESTA";31,14;20,14;37,82;10,90;100,00
"240830 NOVA CRUZ";40,95;13,07;37,19;8,79;100,00
"240840 OLHO-D'AGUA DO BORGES";44,95;15,93;29,66;9,46;100,00
"240850 OURO BRANCO";38,78;14,04;38,39;8,79;100,00
"240860 PARANA";46,54;13,66;29,51;10,29;100,00
"240870 PARAU";35,24;16,49;38,09;10,17;100,00
"240880 PARAZINHO";43,53;19,43;26,43;10,61;100,00
"240890 PARELHAS";28,84;17,07;45,48;8,61;100,00
"240895 RIO DO FOGO";35,42;17,68;29,86;17,04;100,00
"240910 PASSA E FICA";41,15;15,39;31,81;11,64;100,00
"240920 PASSAGEM";42,58;16,97;31,57;8,88;100,00
"240930 PATU";39,16;16,19;36,99;7,66;100,00
"240933 SANTA MARIA";40,43;15,05;32,09;12,44;100,00
"240940 PAU DOS FERROS";28,72;16,88;45,10;9,29;100,00
"240950 PEDRA GRANDE";36,94;19,04;30,43;13,60;100,00
"240960 PEDRA PRETA";45,73;18,24;28,68;7,36;100,00
"240970 PEDRO AVELINO";44,31;16,60;28,51;10,58;100,00
"240980 PEDRO VELHO";39,85;20,99;27,92;11,24;100,00
"240990 PENDENCIAS";35,76;15,48;36,65;12,11;100,00
"241000 PILOES";42,66;12,08;35,50;9,76;100,00
"241010 POCO BRANCO";43,07;14,30;32,90;9,72;100,00
"241020 PORTALEGRE";38,50;15,49;36,57;9,44;100,00
"241025 PORTO DO MANGUE";42,63;13,50;31,34;12,53;100,00
"241030 SERRA CAIADA";40,00;21,32;28,89;9,78;100,00
"241040 PUREZA";38,23;19,83;30,33;11,61;100,00
"241050 RAFAEL FERNANDES";37,79;15,56;36,84;9,81;100,00
"241060 RAFAEL GODEIRO";33,38;12,97;43,19;10,47;100,00
"241070 RIACHO DA CRUZ";37,71;18,94;30,83;12,53;100,00
"241080 RIACHO DE SANTANA";41,00;14,98;31,54;12,48;100,00
"241090 RIACHUELO";38,73;18,18;33,71;9,38;100,00
"241100 RODOLFO FERNANDES";43,14;17,46;33,97;5,42;100,00
"241105 TIBAU";33,27;19,45;37,97;9,32;100,00
"241110 RUY BARBOSA";42,71;15,80;35,00;6,49;100,00
"241120 SANTA CRUZ";32,59;14,90;42,56;9,95;100,00
"241140 SANTANA DO MATOS";45,36;11,47;30,01;13,16;100,00
"241142 SANTANA DO SERIDO";36,36;14,76;36,92;11,97;100,00
"241150 SANTO ANTONIO";37,92;16,73;34,75;10,60;100,00
"241160 SAO BENTO DO NORTE";41,99;17,45;25,96;14,61;100,00
"241170 SAO BENTO DO TRAIRI";36,72;16,59;36,00;10,68;100,00
"241180 SAO FERNANDO";43,85;14,33;31,82;10,00;100,00
"241190 SAO FRANCISCO DO OESTE";37,23;16,60;36,69;9,47;100,00
"241200 SAO GONCALO DO AMARANTE";26,72;15,40;47,57;10,31;100,00
"241210 SAO JOAO DO SABUGI";36,43;14,45;43,08;6,03;100,00
"241220 SAO JOSE DE MIPIBU";34,94;19,03;35,81;10,23;100,00
"241230 SAO JOSE DO CAMPESTRE";38,20;15,64;36,06;10,10;100,00
"241240 SAO JOSE DO SERIDO";29,30;15,67;47,03;8,00;100,00
"241250 SAO MIGUEL";43,10;12,14;33,32;11,45;100,00
"241255 SAO MIGUEL DO GOSTOSO";36,80;20,97;32,22;10,01;100,00
"241260 SAO PAULO DO POTENGI";35,35;15,27;38,57;10,81;100,00
"241270 SAO PEDRO";49,05;13,39;28,53;9,03;100,00
"241280 SAO RAFAEL";45,28;15,53;31,26;7,92;100,00
"241290 SAO TOME";43,63;15,58;29,50;11,29;100,00
"241300 SAO VICENTE";37,32;13,81;38,48;10,39;100,00
"241310 SENADOR ELOI DE SOUZA";41,86;14,72;32,50;10,93;100,00
"241320 SENADOR GEORGINO AVELINO";38,02;17,52;31,58;12,87;100,00
"241330 SERRA DE SAO BENTO";39,71;14,70;33,25;12,34;100,00
"241335 SERRA DO MEL";36,12;17,07;36,81;9,99;100,00
"241340 SERRA NEGRA DO NORTE";45,13;14,10;30,22;10,54;100,00
"241350 SERRINHA";39,42;14,52;30,66;15,39;100,00
"241355 SERRINHA DOS PINTOS";45,74;16,85;29,37;8,04;100,00
"241360 SEVERIANO MELO";39,60;15,21;34,55;10,63;100,00
"241370 SITIO NOVO";40,53;19,03;31,18;9,27;100,00
"241380 TABOLEIRO GRANDE";40,20;18,96;32,07;8,78;100,00
"241390 TAIPU";42,65;15,95;29,49;11,91;100,00
"241400 TANGARA";36,81;16,47;34,51;12,21;100,00
"241410 TENENTE ANANIAS";49,62;13,45;27,00;9,93;100,00
"241415 TENENTE LAURENTINO CRUZ";35,74;11,23;41,22;11,81;100,00
"241420 TIBAU DO SUL";33,21;14,98;38,82;12,99;100,00
"241430 TIMBAUBA DOS BATISTAS";33,01;14,57;42,25;10,17;100,00
"241440 TOUROS";38,66;17,97;30,23;13,14;100,00
"241445 TRIUNFO POTIGUAR";39,01;15,79;35,51;9,69;100,00
"241450 UMARIZAL";37,86;18,58;34,01;9,56;100,00
"241460 UPANEMA";40,77;14,73;34,07;10,43;100,00
"241470 VARZEA";38,84;15,04;37,16;8,96;100,00
"241475 VENHA-VER";47,18;13,25;26,17;13,40;100,00
"241480 VERA CRUZ";44,04;13,52;33,41;9,03;100,00
"241490 VICOSA";36,65;16,43;33,69;13,23;100,00
"241500 VILA FLOR";33,70;21,57;36,94;7,79;100,00
"250010 AGUA BRANCA";42,22;15,67;30,31;11,81;100,00
"250020 AGUIAR";53,19;12,89;25,70;8,22;100,00
"250030 ALAGOA GRANDE";51,16;13,88;27,09;7,87;100,00
"250040 ALAGOA NOVA";45,92;14,43;28,24;11,41;100,00
"250050 ALAGOINHA";46,79;15,15;29,10;8,95;100,00
"250053 ALCANTIL";50,31;12,97;27,44;9,28;100,00
"250057 ALGODAO DE JANDAIRA";48,98;14,04;24,37;12,60;100,00
"250060 ALHANDRA";41,94;15,47;31,33;11,25;100,00
"250070 SAO JOAO DO RIO DO PEIXE";43,02;14,58;32,12;10,28;100,00
"250073 AMPARO";36,98;11,53;35,63;15,85;100,00
"250077 APARECIDA";45,54;14,67;27,44;12,35;100,00
"250080 ARACAGI";55,39;13,14;23,56;7,91;100,00
"250090 ARARA";53,12;14,66;22,80;9,41;100,00
"250100 ARARUNA";49,01;15,85;26,81;8,33;100,00
"250110 AREIA";44,10;14,50;30,94;10,46;100,00
"250115 AREIA DE BARAUNAS";49,26;11,86;28,84;10,04;100,00
"250120 AREIAL";41,93;17,90;29,68;10,49;100,00
"250130 AROEIRAS";48,54;15,12;23,79;12,55;100,00
"250135 ASSUNCAO";35,31;19,99;31,30;13,39;100,00
"250140 BAIA DA TRAICAO";33,70;20,65;35,04;10,61;100,00
"250150 BANANEIRAS";49,29;12,60;26,58;11,53;100,00
"250153 BARAUNA";49,26;16,31;27,28;7,15;100,00
"250157 BARRA DE SANTANA";51,41;11,55;26,28;10,76;100,00
"250160 BARRA DE SANTA ROSA";49,99;12,90;25,69;11,43;100,00
"250170 BARRA DE SAO MIGUEL";43,21;18,44;24,99;13,37;100,00
"250180 BAYEUX";26,31;17,49;44,74;11,46;100,00
"250190 BELEM";48,24;12,80;30,04;8,92;100,00
"250200 BELEM DO BREJO DO CRUZ";51,90;11,03;28,31;8,77;100,00
"250205 BERNARDINO BATISTA";38,73;17,42;28,33;15,52;100,00
"250210 BOA VENTURA";40,96;17,96;33,11;7,97;100,00
"250215 BOA VISTA";28,76;21,28;40,73;9,24;100,00
"250220 BOM JESUS";38,90;14,89;29,89;16,31;100,00
"250230 BOM SUCESSO";42,83;13,80;31,68;11,69;100,00
"250240 BONITO DE SANTA FE";47,00;12,51;29,92;10,57;100,00
"250250 BOQUEIRAO";36,04;15,34;35,37;13,25;100,00
"250260 IGARACY";45,26;13,68;31,58;9,49;100,00
"250270 BORBOREMA";47,07;16,22;26,03;10,67;100,00
"250280 BREJO DO CRUZ";39,86;16,63;29,20;14,31;100,00
"250290 BREJO DOS SANTOS";43,37;12,26;34,03;10,35;100,00
"250300 CAAPORA";35,57;16,98;35,88;11,56;100,00
"250310 CABACEIRAS";35,62;17,94;33,74;12,70;100,00
"250320 CABEDELO";21,78;12,58;57,18;8,46;100,00
"250330 CACHOEIRA DOS INDIOS";42,47;18,40;27,44;11,70;100,00
"250340 CACIMBA DE AREIA";39,47;12,80;32,22;15,51;100,00
"250350 CACIMBA DE DENTRO";51,73;14,03;23,07;11,16;100,00
"250355 CACIMBAS";50,64;16,12;24,21;9,04;100,00
"250360 CAICARA";44,68;14,19;30,05;11,07;100,00
"250370 CAJAZEIRAS";32,14;13,99;43,84;10,03;100,00
"250375 CAJAZEIRINHAS";53,87;13,21;24,04;8,88;100,00
"250380 CALDAS BRANDAO";46,24;15,16;28,03;10,57;100,00
"250390 CAMALAU";47,85;12,57;24,90;14,67;100,00
"250400 CAMPINA GRANDE";20,66;14,66;56,71;7,97;100,00
"250403 CAPIM";52,70;14,97;23,10;9,23;100,00
"250407 CARAUBAS";43,50;13,03;27,76;15,71;100,00
"250410 CARRAPATEIRA";44,22;14,94;34,01;6,83;100,00
"250415 CASSERENGUE";59,94;14,79;18,28;6,99;100,00
"250420 CATINGUEIRA";49,97;13,91;26,94;9,18;100,00
"250430 CATOLE DO ROCHA";38,14;14,61;36,97;10,28;100,00
"250435 CATURITE";38,14;15,11;35,17;11,57;100,00
"250440 CONCEICAO";45,43;14,16;32,47;7,95;100,00
"250450 CONDADO";45,55;15,49;28,63;10,33;100,00
"250460 CONDE";37,27;15,91;35,54;11,29;100,00
"250470 CONGO";44,46;14,39;30,44;10,71;100,00
"250480 COREMAS";48,17;13,92;29,61;8,30;100,00
"250485 COXIXOLA";42,01;11,96;35,47;10,56;100,00
"250490 CRUZ DO ESPIRITO SANTO";49,46;14,16;24,04;12,34;100,00
"250500 CUBATI";42,47;20,08;27,69;9,76;100,00
"250510 CUITE";46,46;14,84;30,10;8,61;100,00
"250520 CUITEGI";48,10;16,18;26,45;9,27;100,00
"250523 CUITE DE MAMANGUAPE";54,27;11,24;23,39;11,10;100,00
"250527 CURRAL DE CIMA";58,18;12,70;21,08;8,04;100,00
"250530 CURRAL VELHO";42,42;14,23;31,91;11,44;100,00
"250535 DAMIAO";50,32;16,69;19,85;13,14;100,00
"250540 DESTERRO";41,79;16,69;31,37;10,15;100,00
"250550 VISTA SERRANA";42,27;19,61;24,89;13,22;100,00
"250560 DIAMANTE";43,69;11,08;34,19;11,04;100,00
"250570 DONA INES";51,85;11,49;27,93;8,73;100,00
"250580 DUAS ESTRADAS";45,86;13,23;27,78;13,12;100,00
"250590 EMAS";44,13;13,61;32,61;9,65;100,00
"250600 ESPERANCA";39,32;15,67;33,24;11,77;100,00
"250610 FAGUNDES";47,77;16,09;25,01;11,13;100,00
"250620 FREI MARTINHO";40,99;16,30;33,26;9,45;100,00
"250625 GADO BRAVO";50,99;19,42;19,46;10,13;100,00
"250630 GUARABIRA";30,91;13,51;45,81;9,77;100,00
"250640 GURINHEM";47,52;15,44;25,62;11,42;100,00
"250650 GURJAO";33,71;16,81;41,28;8,20;100,00
"250660 IBIARA";55,77;9,32;29,00;5,91;100,00
"250670 IMACULADA";41,45;19,54;28,79;10,22;100,00
"250680 INGA";45,71;14,73;28,22;11,34;100,00
"250690 ITABAIANA";38,76;13,83;38,17;9,24;100,00
"250700 ITAPORANGA";38,03;13,69;36,55;11,73;100,00
"250710 ITAPOROROCA";50,74;13,11;26,17;9,98;100,00
"250720 ITATUBA";48,01;15,26;25,42;11,31;100,00
"250730 JACARAU";50,57;15,05;24,66;9,71;100,00
"250740 JERICO";44,45;17,04;28,79;9,71;100,00
"250750 JOAO PESSOA";16,51;11,06;64,94;7,48;100,00
"250760 JUAREZ TAVORA";48,43;13,78;26,98;10,82;100,00
"250770 JUAZEIRINHO";42,72;18,63;27,54;11,11;100,00
"250780 JUNCO DO SERIDO";36,16;15,06;38,07;10,72;100,00
"250790 JURIPIRANGA";49,93;14,40;26,24;9,43;100,00
"250800 JURU";53,89;10,67;25,13;10,31;100,00
"250810 LAGOA";51,14;11,14;26,98;10,75;100,00
"250820 LAGOA DE DENTRO";48,08;13,07;26,19;12,66;100,00
"250830 LAGOA SECA";40,74;13,79;34,58;10,89;100,00
"250840 LASTRO";55,50;11,05;19,41;14,03;100,00
"250850 LIVRAMENTO";43,40;17,03;29,40;10,17;100,00
"250855 LOGRADOURO";41,74;15,07;29,13;14,06;100,00
"250860 LUCENA";44,11;15,39;29,65;10,85;100,00
"250870 MAE D'AGUA";47,95;14,36;27,87;9,82;100,00
"250880 MALTA";41,03;15,25;33,70;10,03;100,00
"250890 MAMANGUAPE";43,89;15,22;31,22;9,67;100,00
"250900 MANAIRA";51,62;15,53;26,01;6,84;100,00
"250905 MARCACAO";48,92;15,43;24,89;10,76;100,00
"250910 MARI";53,43;13,16;25,46;7,95;100,00
"250915 MARIZOPOLIS";41,54;12,00;34,85;11,61;100,00
"250920 MASSARANDUBA";51,31;14,16;23,54;10,98;100,00
"250930 MATARACA";42,49;20,01;27,76;9,73;100,00
"250933 MATINHAS";54,32;15,37;20,67;9,65;100,00
"250937 MATO GROSSO";55,31;11,56;23,07;10,07;100,00
"250939 MATUREIA";43,89;17,02;29,05;10,05;100,00
"250940 MOGEIRO";44,91;12,39;30,68;12,02;100,00
"250950 MONTADAS";44,53;12,60;29,99;12,88;100,00
"250960 MONTE HOREBE";46,08;14,73;27,98;11,21;100,00
"250970 MONTEIRO";41,41;12,32;35,80;10,47;100,00
"250980 MULUNGU";52,09;11,82;26,01;10,08;100,00
"250990 NATUBA";51,15;12,23;24,48;12,15;100,00
"251000 NAZAREZINHO";46,47;13,61;26,37;13,55;100,00
"251010 NOVA FLORESTA";39,62;16,25;33,08;11,06;100,00
"251020 NOVA OLINDA";44,81;17,33;29,25;8,61;100,00
"251030 NOVA PALMEIRA";41,11;15,90;31,21;11,78;100,00
"251040 OLHO D'AGUA";49,51;14,72;28,74;7,03;100,00
"251050 OLIVEDOS";36,80;13,97;37,45;11,78;100,00
"251060 OURO VELHO";33,42;13,15;39,73;13,69;100,00
"251065 PARARI";45,62;15,84;27,14;11,40;100,00
"251070 PASSAGEM";36,29;14,22;36,41;13,07;100,00
"251080 PATOS";28,44;13,66;49,06;8,85;100,00
"251090 PAULISTA";49,23;11,88;27,32;11,57;100,00
"251100 PEDRA BRANCA";39,39;16,35;36,16;8,10;100,00
"251110 PEDRA LAVRADA";44,64;17,23;26,28;11,85;100,00
"251120 PEDRAS DE FOGO";43,07;16,55;29,71;10,67;100,00
"251130 PIANCO";41,32;11,20;39,22;8,25;100,00
"251140 PICUI";41,78;15,65;32,83;9,74;100,00
"251150 PILAR";46,67;13,97;29,45;9,92;100,00
"251160 PILOES";45,56;18,34;26,64;9,45;100,00
"251170 PILOEZINHOS";56,16;12,99;24,48;6,37;100,00
"251180 PIRPIRITUBA";42,35;14,46;34,13;9,06;100,00
"251190 PITIMBU";40,40;17,47;30,53;11,59;100,00
"251200 POCINHOS";43,85;17,14;29,71;9,30;100,00
"251203 POCO DANTAS";46,38;12,71;25,72;15,19;100,00
"251207 POCO DE JOSE DE MOURA";40,74;12,30;32,70;14,26;100,00
"251210 POMBAL";42,69;13,97;35,77;7,56;100,00
"251220 PRATA";37,91;19,29;34,64;8,17;100,00
"251230 PRINCESA ISABEL";37,91;16,91;34,53;10,65;100,00
"251240 PUXINANA";36,60;16,09;36,48;10,83;100,00
"251250 QUEIMADAS";37,60;17,08;33,98;11,34;100,00
"251260 QUIXABA";37,66;9,40;36,52;16,42;100,00
"251270 REMIGIO";44,99;15,16;29,67;10,19;100,00
"251272 PEDRO REGIS";53,87;13,72;22,23;10,18;100,00
"251274 RIACHAO";49,87;14,01;29,13;6,98;100,00
"251275 RIACHAO DO BACAMARTE";42,53;16,04;26,30;15,13;100,00
"251276 RIACHAO DO POCO";48,61;14,48;25,53;11,38;100,00
"251278 RIACHO DE SANTO ANTONIO";38,29;20,41;32,16;9,14;100,00
"251280 RIACHO DOS CAVALOS";48,26;13,38;26,79;11,58;100,00
"251290 RIO TINTO";39,10;14,72;34,96;11,22;100,00
"251300 SALGADINHO";46,92;13,71;27,91;11,46;100,00
"251310 SALGADO DE SAO FELIX";51,74;10,45;25,09;12,72;100,00
"251315 SANTA CECILIA";52,46;14,42;20,28;12,84;100,00
"251320 SANTA CRUZ";43,19;12,30;32,10;12,42;100,00
"251330 SANTA HELENA";43,54;11,81;33,07;11,59;100,00
"251335 SANTA INES";46,71;9,23;31,90;12,15;100,00
"251340 SANTA LUZIA";31,34;13,19;45,85;9,62;100,00
"251350 SANTANA DE MANGUEIRA";57,78;10,62;24,10;7,50;100,00
"251360 SANTANA DOS GARROTES";49,09;8,76;31,72;10,44;100,00
"251365 JOCA CLAUDINO";44,80;9,99;36,18;9,03;100,00
"251370 SANTA RITA";34,46;14,53;41,25;9,76;100,00
"251380 SANTA TERESINHA";44,72;13,07;31,30;10,91;100,00
"251385 SANTO ANDRE";46,09;15,04;28,19;10,67;100,00
"251390 SAO BENTO";50,83;16,14;24,56;8,47;100,00
"251392 SAO BENTINHO";46,94;10,85;29,94;12,26;100,00
"251394 SAO DOMINGOS DO CARIRI";39,20;17,99;24,49;18,32;100,00
"251396 SAO DOMINGOS";50,25;12,32;22,01;15,42;100,00
"251398 SAO FRANCISCO";49,64;10,52;25,73;14,11;100,00
"251400 SAO JOAO DO CARIRI";36,22;20,32;33,88;9,57;100,00
"251410 SAO JOAO DO TIGRE";53,94;11,72;25,48;8,87;100,00
"251420 SAO JOSE DA LAGOA TAPADA";57,60;13,12;22,22;7,05;100,00
"251430 SAO JOSE DE CAIANA";46,29;14,98;27,12;11,61;100,00
"251440 SAO JOSE DE ESPINHARAS";48,98;14,13;28,40;8,50;100,00
"251445 SAO JOSE DOS RAMOS";49,25;16,01;23,34;11,40;100,00
"251450 SAO JOSE DE PIRANHAS";46,53;15,15;28,23;10,10;100,00
"251455 SAO JOSE DE PRINCESA";47,13;14,47;26,84;11,56;100,00
"251460 SAO JOSE DO BONFIM";41,83;13,00;30,82;14,35;100,00
"251465 SAO JOSE DO BREJO DO CRUZ";39,38;13,10;29,94;17,58;100,00
"251470 SAO JOSE DO SABUGI";38,93;12,84;35,84;12,39;100,00
"251480 SAO JOSE DOS CORDEIROS";46,03;15,64;21,00;17,33;100,00
"251490 SAO MAMEDE";37,04;16,58;38,06;8,32;100,00
"251500 SAO MIGUEL DE TAIPU";47,10;16,04;25,25;11,60;100,00
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";39,55;17,64;29,24;13,57;100,00
"251520 SAO SEBASTIAO DO UMBUZEIRO";48,35;12,42;28,60;10,63;100,00
"251530 SAPE";46,67;12,79;30,74;9,80;100,00
"251540 SAO VICENTE DO SERIDO";45,50;18,30;27,50;8,71;100,00
"251550 SERRA BRANCA";37,80;15,35;35,21;11,64;100,00
"251560 SERRA DA RAIZ";41,36;12,32;36,52;9,81;100,00
"251570 SERRA GRANDE";44,15;13,53;31,86;10,47;100,00
"251580 SERRA REDONDA";50,81;13,16;26,03;10,00;100,00
"251590 SERRARIA";55,16;13,20;24,43;7,22;100,00
"251593 SERTAOZINHO";38,80;14,10;35,38;11,72;100,00
"251597 SOBRADO";42,71;15,45;27,48;14,35;100,00
"251600 SOLANEA";47,16;13,77;30,37;8,70;100,00
"251610 SOLEDADE";35,50;19,72;35,07;9,71;100,00
"251615 SOSSEGO";43,07;19,93;25,83;11,17;100,00
"251620 SOUSA";35,09;14,31;41,13;9,47;100,00
"251630 SUME";37,92;15,38;35,19;11,51;100,00
"251640 TACIMA";52,82;11,17;26,69;9,31;100,00
"251650 TAPEROA";46,71;13,49;27,84;11,95;100,00
"251660 TAVARES";48,09;15,70;27,65;8,56;100,00
"251670 TEIXEIRA";37,24;14,63;38,63;9,49;100,00
"251675 TENORIO";44,09;17,14;30,57;8,20;100,00
"251680 TRIUNFO";42,92;13,04;33,24;10,81;100,00
"251690 UIRAUNA";40,72;12,51;36,72;10,05;100,00
"251700 UMBUZEIRO";47,42;10,09;32,56;9,92;100,00
"251710 VARZEA";29,16;15,04;49,67;6,14;100,00
"251720 VIEIROPOLIS";48,48;13,81;24,90;12,81;100,00
"251740 ZABELE";48,03;6,24;35,87;9,86;100,00
"260005 ABREU E LIMA";19,48;17,52;52,70;10,30;100,00
"260010 AFOGADOS DA INGAZEIRA";33,53;15,47;41,15;9,85;100,00
"260020 AFRANIO";41,74;14,34;30,52;13,40;100,00
"260030 AGRESTINA";45,25;13,59;29,46;11,70;100,00
"260040 AGUA PRETA";45,73;16,08;30,18;8,01;100,00
"260050 AGUAS BELAS";50,86;14,05;24,02;11,07;100,00
"260060 ALAGOINHA";38,89;17,55;30,12;13,45;100,00
"260070 ALIANCA";38,45;15,14;32,25;14,15;100,00
"260080 ALTINHO";47,66;15,10;28,41;8,83;100,00
"260090 AMARAJI";41,35;17,59;28,81;12,25;100,00
"260100 ANGELIM";43,87;14,52;30,04;11,57;100,00
"260105 ARACOIABA";33,50;17,84;33,53;15,14;100,00
"260110 ARARIPINA";42,32;13,86;31,82;12,00;100,00
"260120 ARCOVERDE";28,56;15,48;46,94;9,02;100,00
"260130 BARRA DE GUABIRABA";47,11;12,01;31,37;9,51;100,00
"260140 BARREIROS";36,99;13,84;39,30;9,87;100,00
"260150 BELEM DE MARIA";42,35;14,10;31,04;12,51;100,00
"260160 BELEM DE SAO FRANCISCO";31,83;11,79;43,13;13,25;100,00
"260170 BELO JARDIM";37,87;14,16;37,04;10,93;100,00
"260180 BETANIA";48,57;15,41;24,67;11,35;100,00
"260190 BEZERROS";43,38;14,51;31,50;10,61;100,00
"260200 BODOCO";41,16;14,65;31,08;13,12;100,00
"260210 BOM CONSELHO";42,93;16,13;28,21;12,73;100,00
"260220 BOM JARDIM";45,44;10,97;33,20;10,38;100,00
"260230 BONITO";47,03;14,98;27,32;10,67;100,00
"260240 BREJAO";44,88;16,46;28,71;9,96;100,00
"260250 BREJINHO";39,57;18,77;29,70;11,96;100,00
"260260 BREJO DA MADRE DE DEUS";44,69;18,05;24,11;13,15;100,00
"260270 BUENOS AIRES";39,76;17,46;31,33;11,45;100,00
"260280 BUIQUE";51,56;13,64;22,93;11,87;100,00
"260290 CABO DE SANTO AGOSTINHO";24,97;14,19;50,94;9,91;100,00
"260300 CABROBO";39,25;14,09;36,59;10,07;100,00
"260310 CACHOEIRINHA";45,86;16,99;26,92;10,24;100,00
"260320 CAETES";54,97;11,78;22,80;10,46;100,00
"260330 CALCADO";41,96;17,03;27,09;13,93;100,00
"260340 CALUMBI";46,38;15,00;26,14;12,48;100,00
"260345 CAMARAGIBE";20,71;15,53;53,66;10,09;100,00
"260350 CAMOCIM DE SAO FELIX";44,80;16,20;29,22;9,78;100,00
"260360 CAMUTANGA";38,20;15,62;35,19;11,00;100,00
"260370 CANHOTINHO";49,96;14,20;24,73;11,12;100,00
"260380 CAPOEIRAS";46,98;16,93;24,02;12,06;100,00
"260390 CARNAIBA";42,25;13,06;31,73;12,96;100,00
"260392 CARNAUBEIRA DA PENHA";41,34;10,33;36,38;11,96;100,00
"260400 CARPINA";27,57;12,97;49,34;10,11;100,00
"260410 CARUARU";26,63;16,24;45,85;11,27;100,00
"260415 CASINHAS";46,28;12,66;29,79;11,27;100,00
"260420 CATENDE";36,54;13,63;40,45;9,38;100,00
"260430 CEDRO";36,33;13,15;40,13;10,40;100,00
"260440 CHA DE ALEGRIA";39,02;15,86;35,20;9,92;100,00
"260450 CHA GRANDE";46,04;17,32;27,11;9,53;100,00
"260460 CONDADO";34,09;14,21;40,06;11,64;100,00
"260470 CORRENTES";45,89;19,79;24,47;9,84;100,00
"260480 CORTES";45,37;13,88;30,97;9,78;100,00
"260490 CUMARU";47,68;13,51;28,56;10,25;100,00
"260500 CUPIRA";42,67;16,02;30,96;10,35;100,00
"260510 CUSTODIA";43,96;14,60;30,58;10,87;100,00
"260515 DORMENTES";47,54;10,26;31,51;10,69;100,00
"260520 ESCADA";36,07;11,83;42,05;10,04;100,00
"260530 EXU";43,94;15,84;32,39;7,83;100,00
"260540 FEIRA NOVA";44,30;18,12;26,86;10,71;100,00
"260545 FERNANDO DE NORONHA";6,71;15,56;73,03;4,70;100,00
"260550 FERREIROS";39,05;19,08;32,95;8,91;100,00
"260560 FLORES";50,22;14,53;25,02;10,22;100,00
"260570 FLORESTA";30,73;14,80;43,83;10,65;100,00
"260580 FREI MIGUELINHO";47,72;15,70;23,53;13,05;100,00
"260590 GAMELEIRA";39,97;11,11;39,01;9,92;100,00
"260600 GARANHUNS";28,32;16,39;45,85;9,44;100,00
"260610 GLORIA DO GOITA";41,63;14,48;32,33;11,55;100,00
"260620 GOIANA";26,66;15,26;46,92;11,16;100,00
"260630 GRANITO";35,75;15,47;34,65;14,13;100,00
"260640 GRAVATA";35,34;16,87;35,02;12,78;100,00
"260650 IATI";50,98;15,87;21,24;11,91;100,00
"260660 IBIMIRIM";43,09;15,94;28,69;12,28;100,00
"260670 IBIRAJUBA";46,29;15,45;27,12;11,14;100,00
"260680 IGARASSU";24,60;16,84;48,51;10,06;100,00
"260690 IGUARACY";43,78;14,38;31,64;10,20;100,00
"260700 INAJA";44,43;15,59;27,51;12,46;100,00
"260710 INGAZEIRA";39,28;13,81;33,80;13,11;100,00
"260720 IPOJUCA";32,74;15,53;39,21;12,52;100,00
"260730 IPUBI";45,50;14,86;27,23;12,41;100,00
"260740 ITACURUBA";31,82;16,41;40,80;10,97;100,00
"260750 ITAIBA";54,30;14,30;19,95;11,44;100,00
"260760 ILHA DE ITAMARACA";21,22;18,44;47,35;12,99;100,00
"260765 ITAMBE";43,70;15,79;30,69;9,81;100,00
"260770 ITAPETIM";40,14;19,36;29,86;10,64;100,00
"260775 ITAPISSUMA";28,25;16,59;42,05;13,11;100,00
"260780 ITAQUITINGA";34,16;19,78;34,11;11,95;100,00
"260790 JABOATAO DOS GUARARAPES";19,76;13,25;56,88;10,11;100,00
"260795 JAQUEIRA";43,69;14,85;31,29;10,18;100,00
"260800 JATAUBA";52,00;15,51;20,88;11,61;100,00
