"municipality","1991","2000","2010","Total"
"130115 CAREIRO DA VARZEA",88.45,87.16,75.42,82.81
"130120 COARI",91.17,85.89,64.95,78.10
"130130 CODAJAS",83.90,87.43,77.84,82.36
"130140 EIRUNEPE",94.72,89.95,74.68,85.02
"130150 ENVIRA",94.13,94.43,80.23,89.60
"130160 FONTE BOA",92.55,93.04,78.15,87.98
"130165 GUAJARA",93.55,96.84,83.21,90.92
"130170 HUMAITA",88.10,74.33,65.30,75.17
"130180 IPIXUNA",96.18,94.81,86.42,91.08
"130185 IRANDUBA",83.52,77.64,63.21,72.33
"130190 ITACOATIARA",84.04,78.94,59.68,72.41
"130195 ITAMARATI",89.66,94.25,90.05,91.24
"130200 ITAPIRANGA",89.12,86.45,69.81,80.55
"130210 JAPURA",93.06,91.80,80.10,89.15
"130220 JURUA",94.50,87.42,76.64,83.69
"130230 JUTAI",88.22,92.63,83.20,88.44
"130240 LABREA",91.91,89.13,73.44,83.99
"130250 MANACAPURU",86.89,80.40,62.00,74.53
"130255 MANAQUIRI",85.81,78.35,74.42,77.91
"130260 MANAUS",55.63,53.68,37.78,47.25
"130270 MANICORE",89.68,88.04,68.83,81.08
"130280 MARAA",95.02,91.73,86.74,90.67
"130290 MAUES",88.66,85.45,76.63,82.38
"130300 NHAMUNDA",93.20,86.37,79.86,85.63
"130310 NOVA OLINDA DO NORTE",90.58,89.83,76.39,83.81
"130320 NOVO AIRAO",90.97,83.56,70.13,81.07
"130330 NOVO ARIPUANA",86.94,88.23,72.69,81.20
"130340 PARINTINS",87.85,84.08,66.72,77.83
"130350 PAUINI",90.64,96.71,81.29,89.30
"130353 PRESIDENTE FIGUEIREDO",65.46,61.67,51.63,56.63
"130356 RIO PRETO DA EVA",84.62,81.97,60.62,70.85
"130360 SANTA ISABEL DO RIO NEGRO",98.41,89.19,85.30,90.79
"130370 SANTO ANTONIO DO ICA",92.71,92.93,87.31,90.85
"130380 SAO GABRIEL DA CACHOEIRA",85.81,78.89,76.59,79.58
"130390 SAO PAULO DE OLIVENCA",96.22,91.54,85.17,89.35
"130395 SAO SEBASTIAO DO UATUMA",86.36,87.91,73.26,80.58
"130400 SILVES",87.35,85.14,73.19,81.09
"130406 TABATINGA",87.08,71.82,70.68,74.72
"130410 TAPAUA",98.08,92.50,77.12,90.00
"130420 TEFE",87.58,77.60,62.29,74.86
"130423 TONANTINS",96.41,90.83,78.38,87.00
"130426 UARINI",80.40,82.90,80.54,81.40
"130430 URUCARA",90.67,87.35,75.65,83.78
"130440 URUCURITUBA",98.30,88.32,73.84,86.39
"140002 AMAJARI",...,78.72,86.62,84.01
"140005 ALTO ALEGRE",84.14,81.60,77.90,80.52
"140010 BOA VISTA",54.28,42.17,34.81,41.10
"140015 BONFIM",78.95,79.03,73.09,76.74
"140017 CANTA",...,70.66,69.69,70.05
"140020 CARACARAI",75.86,64.80,63.60,66.26
"140023 CAROEBE",...,76.12,61.64,67.59
"140028 IRACEMA",...,69.58,68.59,68.94
"140030 MUCAJAI",79.75,64.72,62.87,67.32
"140040 NORMANDIA",92.46,84.90,78.15,85.38
"140045 PACARAIMA",...,71.95,69.08,70.21
"140047 RORAINOPOLIS",...,74.23,65.89,69.28
"140050 SAO JOAO DA BALIZA",83.10,70.88,57.93,69.03
"140060 SAO LUIZ",84.21,73.54,63.43,74.57
"140070 UIRAMUTA",...,93.24,87.12,89.56
"150010 ABAETETUBA",89.81,83.03,66.65,78.48
"150013 ABEL FIGUEIREDO",...,63.33,59.86,61.47
"150020 ACARA",87.79,86.91,76.68,83.25
"150030 AFUA",93.54,87.06,83.56,87.11
"150034 AGUA AZUL DO NORTE",...,66.96,64.59,65.69
"150040 ALENQUER",92.68,84.32,77.00,84.62
"150050 ALMEIRIM",78.66,61.00,59.33,65.89
"150060 ALTAMIRA",78.75,58.11,47.66,59.32
"150070 ANAJAS",93.40,86.40,82.47,86.41
"150080 ANANINDEUA",76.91,56.26,39.64,49.88
"150085 ANAPU",...,77.40,67.34,70.47
"150090 AUGUSTO CORREA",97.52,91.22,83.21,89.93
