 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"251597 SOBRADO";26,42;34,35;23,59;10,89;0,37;4,38;100,00
"251600 SOLANEA";32,69;26,31;21,03;16,31;0,59;3,07;100,00
"251610 SOLEDADE";18,84;27,38;33,13;16,08;0,88;3,69;100,00
"251615 SOSSEGO";22,18;37,10;24,05;12,08;-;4,59;100,00
"251620 SOUSA";22,13;22,81;27,81;26,35;0,15;0,75;100,00
"251630 SUME";18,58;30,55;29,53;17,47;0,27;3,59;100,00
"251640 TACIMA";36,40;26,44;23,55;10,76;0,30;2,56;100,00
"251650 TAPEROA";24,84;31,53;26,21;14,16;0,09;3,16;100,00
"251660 TAVARES";30,71;33,73;23,35;9,37;0,11;2,73;100,00
"251670 TEIXEIRA";25,76;26,75;27,77;17,61;0,09;2,02;100,00
"251675 TENORIO";17,42;43,31;20,16;12,13;0,37;6,60;100,00
"251680 TRIUNFO";31,65;26,91;24,21;14,98;0,27;1,98;100,00
"251690 UIRAUNA";24,98;25,68;25,80;21,46;0,06;2,02;100,00
"251700 UMBUZEIRO";36,62;26,71;21,27;12,69;1,02;1,70;100,00
"251710 VARZEA";12,26;24,26;30,30;31,02;0,85;1,31;100,00
"251720 VIEIROPOLIS";36,72;25,71;22,33;10,83;0,21;4,19;100,00
"251740 ZABELE";29,08;21,91;24,58;22,21;-;2,21;100,00
"260005 ABREU E LIMA";9,66;14,48;38,56;36,49;0,07;0,74;100,00
"260010 AFOGADOS DA INGAZEIRA";23,50;18,67;28,84;27,33;0,35;1,32;100,00
"260020 AFRANIO";32,62;27,46;28,03;9,00;0,14;2,75;100,00
"260030 AGRESTINA";26,54;30,08;28,08;13,14;-;2,16;100,00
"260040 AGUA PRETA";32,59;24,91;24,27;16,16;0,24;1,84;100,00
"260050 AGUAS BELAS";37,29;27,61;19,90;12,95;0,28;1,98;100,00
"260060 ALAGOINHA";25,62;27,80;28,42;16,39;0,05;1,73;100,00
"260070 ALIANCA";23,54;28,56;32,14;13,64;0,02;2,11;100,00
"260080 ALTINHO";33,60;26,13;23,03;14,79;0,16;2,29;100,00
"260090 AMARAJI";27,42;28,95;26,19;16,14;0,24;1,06;100,00
"260100 ANGELIM";27,34;27,49;27,52;14,15;0,25;3,25;100,00
"260105 ARACOIABA";26,70;27,13;30,65;14,65;-;0,86;100,00
"260110 ARARIPINA";26,81;26,53;27,09;17,19;0,25;2,13;100,00
"260120 ARCOVERDE";17,99;17,35;29,20;34,60;0,08;0,78;100,00
"260130 BARRA DE GUABIRABA";33,47;28,79;25,11;10,54;0,53;1,55;100,00
"260140 BARREIROS";23,14;22,28;28,57;25,10;0,04;0,87;100,00
"260150 BELEM DE MARIA";31,75;27,50;25,52;14,65;0,06;0,52;100,00
"260160 BELEM DE SAO FRANCISCO";24,00;25,32;25,67;23,36;0,28;1,37;100,00
"260170 BELO JARDIM";24,93;26,13;26,70;20,81;0,21;1,23;100,00
"260180 BETANIA";28,12;28,40;27,35;12,16;0,15;3,82;100,00
"260190 BEZERROS";27,83;24,36;29,67;16,41;0,37;1,35;100,00
"260200 BODOCO";31,46;28,18;25,38;13,24;0,32;1,41;100,00
"260210 BOM CONSELHO";25,14;29,59;25,43;17,19;0,24;2,41;100,00
"260220 BOM JARDIM";27,92;28,49;23,53;18,07;0,18;1,80;100,00
"260230 BONITO";29,54;28,93;24,56;15,37;0,08;1,53;100,00
"260240 BREJAO";28,66;29,15;28,91;11,76;-;1,52;100,00
"260250 BREJINHO";28,91;29,93;24,16;14,06;-;2,94;100,00
"260260 BREJO DA MADRE DE DEUS";31,02;28,99;26,67;11,80;0,47;1,05;100,00
"260270 BUENOS AIRES";23,93;25,72;30,85;16,34;0,34;2,83;100,00
"260280 BUIQUE";34,87;31,33;21,55;9,40;0,41;2,44;100,00
"260290 CABO DE SANTO AGOSTINHO";13,85;18,24;33,14;33,86;0,07;0,83;100,00
"260300 CABROBO";20,68;27,91;30,44;19,80;0,17;1,00;100,00
"260310 CACHOEIRINHA";30,25;25,69;26,10;16,91;0,07;0,99;100,00
"260320 CAETES";37,09;29,52;22,24;8,36;-;2,79;100,00
"260330 CALCADO";23,99;30,87;29,97;14,03;-;1,13;100,00
"260340 CALUMBI";28,36;28,47;28,64;11,76;0,41;2,36;100,00
"260345 CAMARAGIBE";11,43;16,10;34,78;36,33;0,07;1,28;100,00
"260350 CAMOCIM DE SAO FELIX";30,58;26,23;28,14;13,48;0,16;1,41;100,00
"260360 CAMUTANGA";25,77;26,11;25,57;20,60;0,09;1,85;100,00
"260370 CANHOTINHO";31,68;29,20;24,81;12,55;0,87;0,89;100,00
"260380 CAPOEIRAS";31,69;24,85;27,21;13,84;0,12;2,28;100,00
"260390 CARNAIBA";26,09;24,18;29,78;18,01;0,24;1,70;100,00
"260392 CARNAUBEIRA DA PENHA";36,47;26,77;24,85;11,11;0,03;0,77;100,00
"260400 CARPINA";18,58;18,68;30,27;31,64;0,04;0,79;100,00
"260410 CARUARU";16,69;18,48;31,80;32,27;0,09;0,67;100,00
"260415 CASINHAS";26,49;32,75;26,77;10,50;0,12;3,37;100,00
"260420 CATENDE";26,70;20,73;26,61;24,42;0,20;1,34;100,00
"260430 CEDRO";20,70;31,07;26,17;18,45;0,09;3,52;100,00
"260440 CHA DE ALEGRIA";21,08;29,52;30,42;16,04;0,50;2,44;100,00
"260450 CHA GRANDE";25,48;31,15;28,00;13,16;0,14;2,06;100,00
"260460 CONDADO";22,45;23,96;29,64;22,40;0,37;1,20;100,00
"260470 CORRENTES";29,51;24,18;30,76;13,50;0,26;1,78;100,00
"260480 CORTES";29,83;28,95;25,99;14,46;0,20;0,58;100,00
"260490 CUMARU";35,01;19,27;31,73;11,59;0,38;2,03;100,00
"260500 CUPIRA";31,74;23,85;27,15;14,71;0,45;2,10;100,00
"260510 CUSTODIA";25,13;26,87;28,38;17,12;0,43;2,08;100,00
"260515 DORMENTES";40,96;16,65;26,56;14,43;0,03;1,38;100,00
"260520 ESCADA";21,28;25,41;28,99;23,50;0,15;0,67;100,00
"260530 EXU";30,62;24,41;25,37;18,03;0,13;1,44;100,00
"260540 FEIRA NOVA";30,58;24,93;30,24;12,00;0,47;1,78;100,00
"260545 FERNANDO DE NORONHA";3,46;10,53;29,05;53,64;-;3,32;100,00
"260550 FERREIROS";21,33;28,77;30,78;17,25;0,45;1,42;100,00
"260560 FLORES";33,38;24,26;25,92;14,96;0,19;1,28;100,00
"260570 FLORESTA";17,72;22,18;29,19;29,36;0,24;1,31;100,00
"260580 FREI MIGUELINHO";32,06;26,61;27,57;10,47;0,71;2,57;100,00
"260590 GAMELEIRA";30,07;25,80;25,61;16,50;0,23;1,78;100,00
"260600 GARANHUNS";17,44;18,67;30,34;32,63;0,12;0,81;100,00
"260610 GLORIA DO GOITA";25,77;26,96;30,27;15,32;0,09;1,58;100,00
"260620 GOIANA";16,07;23,58;31,23;27,90;0,16;1,06;100,00
"260630 GRANITO";34,75;24,24;26,05;14,34;0,26;0,36;100,00
"260640 GRAVATA";22,03;22,65;31,61;22,05;0,28;1,38;100,00
"260650 IATI";37,24;31,68;20,28;7,54;1,48;1,78;100,00
"260660 IBIMIRIM";30,15;28,28;23,00;13,46;0,61;4,50;100,00
"260670 IBIRAJUBA";26,74;33,73;23,55;12,79;0,16;3,03;100,00
"260680 IGARASSU";13,83;17,91;36,82;30,64;0,13;0,66;100,00
"260690 IGUARACY";24,07;29,07;30,22;16,19;-;0,46;100,00
"260700 INAJA";31,65;24,88;25,03;14,51;0,50;3,43;100,00
"260710 INGAZEIRA";24,76;22,30;28,12;21,41;0,16;3,26;100,00
"260720 IPOJUCA";21,65;25,43;30,66;21,09;0,03;1,14;100,00
"260730 IPUBI";33,05;26,26;24,49;14,38;0,18;1,64;100,00
"260740 ITACURUBA";16,36;26,32;30,68;25,03;-;1,62;100,00
"260750 ITAIBA";37,19;31,48;20,83;7,54;0,30;2,65;100,00
"260760 ILHA DE ITAMARACA";13,40;16,99;35,87;32,84;0,15;0,74;100,00
"260765 ITAMBE";30,30;26,09;26,23;15,69;0,15;1,54;100,00
"260770 ITAPETIM";23,03;26,31;31,54;17,56;0,15;1,40;100,00
"260775 ITAPISSUMA";19,46;18,55;36,76;24,51;-;0,71;100,00
"260780 ITAQUITINGA";19,62;27,01;32,53;17,71;0,42;2,71;100,00
"260790 JABOATAO DOS GUARARAPES";9,55;13,70;32,66;43,24;0,11;0,74;100,00
"260795 JAQUEIRA";33,24;23,47;27,23;13,34;0,53;2,19;100,00
"260800 JATAUBA";28,48;34,66;24,49;8,80;0,11;3,47;100,00
"260805 JATOBA";18,62;22,29;28,46;28,94;-;1,70;100,00
"260810 JOAO ALFREDO";34,59;28,01;21,98;12,54;0,43;2,45;100,00
"260820 JOAQUIM NABUCO";27,28;28,22;26,06;16,10;0,17;2,17;100,00
"260825 JUCATI";29,22;31,03;29,01;10,47;-;0,27;100,00
"260830 JUPI";30,30;26,93;25,69;15,08;0,24;1,75;100,00
"260840 JUREMA";36,68;30,37;22,27;8,08;-;2,60;100,00
"260845 LAGOA DO CARRO";20,39;25,02;33,78;19,86;0,25;0,70;100,00
"260850 LAGOA DE ITAENGA";22,54;27,43;34,81;14,10;0,17;0,94;100,00
"260860 LAGOA DO OURO";30,54;29,98;22,53;13,13;0,25;3,57;100,00
"260870 LAGOA DOS GATOS";35,37;28,04;20,38;10,89;0,19;5,13;100,00
"260875 LAGOA GRANDE";24,67;25,45;32,10;14,47;0,22;3,08;100,00
"260880 LAJEDO";21,70;29,65;29,64;18,02;0,06;0,93;100,00
"260890 LIMOEIRO";19,11;20,92;30,97;27,33;0,13;1,53;100,00
"260900 MACAPARANA";28,87;26,41;24,35;19,30;0,26;0,81;100,00
"260910 MACHADOS";30,34;25,09;27,02;14,52;0,46;2,57;100,00
"260915 MANARI";41,56;33,99;15,39;3,80;0,90;4,36;100,00
"260920 MARAIAL";35,64;26,15;23,60;11,45;0,27;2,88;100,00
"260930 MIRANDIBA";25,72;22,81;29,46;21,22;-;0,79;100,00
"260940 MORENO";16,13;21,07;33,93;27,55;0,07;1,25;100,00
"260950 NAZARE DA MATA";18,41;21,72;29,78;28,68;0,17;1,25;100,00
"260960 OLINDA";7,61;11,40;29,97;50,35;0,10;0,58;100,00
"260970 OROBO";27,29;29,25;26,73;14,68;0,12;1,94;100,00
"260980 OROCO";25,12;24,53;27,89;21,09;0,22;1,15;100,00
"260990 OURICURI";33,17;24,76;24,05;15,76;0,09;2,16;100,00
"261000 PALMARES";22,90;19,40;27,27;28,54;0,23;1,66;100,00
"261010 PALMEIRINA";33,41;22,17;26,41;15,73;0,54;1,74;100,00
"261020 PANELAS";37,11;28,46;20,80;11,17;0,27;2,19;100,00
"261030 PARANATAMA";36,80;29,38;21,00;9,69;0,08;3,05;100,00
"261040 PARNAMIRIM";22,94;28,90;30,60;16,36;0,21;0,98;100,00
"261050 PASSIRA";28,83;27,90;26,79;14,92;0,24;1,33;100,00
"261060 PAUDALHO";19,61;25,27;33,57;20,79;0,18;0,58;100,00
"261070 PAULISTA";6,60;9,99;30,05;52,65;0,08;0,64;100,00
"261080 PEDRA";27,32;27,42;25,70;14,37;0,26;4,93;100,00
"261090 PESQUEIRA";22,95;23,99;26,95;24,74;0,29;1,09;100,00
"261100 PETROLANDIA";18,84;21,63;30,13;27,82;1,31;0,27;100,00
"261110 PETROLINA";14,41;17,33;31,43;36,09;0,10;0,65;100,00
"261120 POCAO";32,31;30,69;21,83;13,37;0,65;1,16;100,00
"261130 POMBOS";27,41;28,76;27,86;13,99;0,34;1,64;100,00
"261140 PRIMAVERA";25,32;30,55;27,58;15,66;0,04;0,84;100,00
"261150 QUIPAPA";39,41;23,30;25,47;11,06;0,09;0,68;100,00
"261153 QUIXABA";22,55;33,55;29,67;12,18;-;2,05;100,00
"261160 RECIFE";7,29;11,36;28,49;52,07;0,08;0,70;100,00
"261170 RIACHO DAS ALMAS";25,36;29,86;27,49;11,86;0,07;5,35;100,00
"261180 RIBEIRAO";27,06;22,69;26,08;23,04;0,28;0,86;100,00
"261190 RIO FORMOSO";26,90;24,15;29,78;18,54;0,10;0,53;100,00
"261200 SAIRE";31,37;29,02;28,33;10,33;-;0,94;100,00
"261210 SALGADINHO";28,70;34,45;23,52;11,83;-;1,49;100,00
"261220 SALGUEIRO";18,99;19,16;31,89;28,76;0,12;1,08;100,00
"261230 SALOA";31,22;24,57;28,27;12,57;2,26;1,11;100,00
"261240 SANHARO";22,05;30,53;29,30;16,55;0,08;1,49;100,00
"261245 SANTA CRUZ";44,96;22,20;22,59;7,64;0,40;2,21;100,00
"261247 SANTA CRUZ DA BAIXA VERDE";20,42;25,02;32,70;19,15;-;2,70;100,00
"261250 SANTA CRUZ DO CAPIBARIBE";16,89;24,74;37,35;20,15;0,17;0,70;100,00
"261255 SANTA FILOMENA";43,26;26,33;22,74;5,68;0,51;1,48;100,00
"261260 SANTA MARIA DA BOA VISTA";23,07;23,69;30,56;20,88;0,09;1,70;100,00
"261270 SANTA MARIA DO CAMBUCA";34,05;28,76;25,10;9,68;0,14;2,27;100,00
"261280 SANTA TEREZINHA";25,22;24,87;26,46;21,03;0,16;2,26;100,00
"261290 SAO BENEDITO DO SUL";41,32;25,24;20,41;10,08;0,30;2,65;100,00
"261300 SAO BENTO DO UNA";27,71;27,24;27,64;16,17;0,16;1,08;100,00
"261310 SAO CAITANO";28,38;26,84;29,53;13,63;0,26;1,36;100,00
"261320 SAO JOAO";29,03;31,76;26,27;10,98;0,25;1,72;100,00
"261330 SAO JOAQUIM DO MONTE";28,82;36,62;24,50;8,76;0,13;1,17;100,00
"261340 SAO JOSE DA COROA GRANDE";22,24;24,54;26,18;25,52;0,21;1,31;100,00
"261350 SAO JOSE DO BELMONTE";25,35;28,95;27,87;16,80;0,26;0,77;100,00
"261360 SAO JOSE DO EGITO";22,57;22,07;29,86;23,87;0,31;1,31;100,00
"261370 SAO LOURENCO DA MATA";15,39;19,09;34,42;30,51;0,10;0,49;100,00
"261380 SAO VICENTE FERRER";25,92;32,12;27,10;13,68;0,20;0,99;100,00
"261390 SERRA TALHADA";21,54;22,37;29,32;25,65;0,14;0,98;100,00
"261400 SERRITA";25,05;30,50;26,68;12,97;1,32;3,48;100,00
"261410 SERTANIA";26,64;22,15;27,56;21,85;0,08;1,72;100,00
"261420 SIRINHAEM";26,71;25,54;31,01;14,74;-;2,00;100,00
"261430 MOREILANDIA";28,75;22,52;28,18;18,78;0,32;1,45;100,00
"261440 SOLIDAO";26,30;28,40;26,93;14,98;0,14;3,25;100,00
"261450 SURUBIM";24,09;24,56;26,24;23,13;0,15;1,84;100,00
"261460 TABIRA";15,93;26,48;33,13;22,00;0,24;2,22;100,00
"261470 TACAIMBO";31,98;26,88;26,70;11,67;0,38;2,39;100,00
"261480 TACARATU";22,34;26,16;30,93;16,42;0,58;3,57;100,00
"261485 TAMANDARE";25,31;28,00;27,58;15,61;-;3,49;100,00
"261500 TAQUARITINGA DO NORTE";21,26;23,32;37,57;14,83;1,15;1,88;100,00
"261510 TEREZINHA";25,21;37,32;22,03;10,24;0,27;4,94;100,00
"261520 TERRA NOVA";16,92;31,07;27,84;21,53;0,10;2,54;100,00
"261530 TIMBAUBA";21,13;23,82;29,50;23,83;0,13;1,59;100,00
"261540 TORITAMA";24,63;26,43;33,32;15,47;-;0,16;100,00
"261550 TRACUNHAEM";25,80;24,92;32,87;15,50;0,30;0,62;100,00
"261560 TRINDADE";27,29;24,92;26,88;18,30;0,26;2,34;100,00
"261570 TRIUNFO";14,04;24,90;31,99;27,28;0,05;1,74;100,00
"261580 TUPANATINGA";37,52;31,60;18,05;8,27;0,51;4,04;100,00
"261590 TUPARETAMA";23,92;19,62;28,88;26,41;-;1,18;100,00
"261600 VENTUROSA";27,84;20,92;30,45;18,34;0,16;2,30;100,00
"261610 VERDEJANTE";24,64;22,33;31,97;19,74;-;1,32;100,00
"261618 VERTENTE DO LERIO";35,20;28,56;22,34;9,49;0,22;4,19;100,00
"261620 VERTENTES";24,05;29,99;27,36;16,54;0,15;1,91;100,00
"261630 VICENCIA";24,36;28,50;27,32;18,61;0,23;1,00;100,00
"261640 VITORIA DE SANTO ANTAO";19,52;22,93;29,48;27,08;0,15;0,84;100,00
"261650 XEXEU";31,74;31,25;25,11;11,50;0,13;0,26;100,00
"270010 AGUA BRANCA";25,96;33,85;24,00;12,64;0,58;2,97;100,00
"270020 ANADIA";37,70;20,66;23,61;16,02;0,33;1,68;100,00
"270030 ARAPIRACA";24,08;22,00;29,29;23,42;0,28;0,92;100,00
"270040 ATALAIA";36,83;22,96;23,98;14,90;0,45;0,88;100,00
"270050 BARRA DE SANTO ANTONIO";26,92;34,39;24,37;13,35;0,03;0,94;100,00
"270060 BARRA DE SAO MIGUEL";25,90;28,49;27,15;16,02;0,52;1,93;100,00
"270070 BATALHA";41,27;23,52;20,44;13,74;0,05;0,98;100,00
"270080 BELEM";23,90;33,73;23,24;14,32;0,10;4,71;100,00
"270090 BELO MONTE";32,59;36,78;19,55;6,98;0,77;3,33;100,00
"270100 BOCA DA MATA";30,14;28,45;24,84;15,38;-;1,20;100,00
"270110 BRANQUINHA";40,57;32,97;18,22;6,53;0,24;1,47;100,00
"270120 CACIMBINHAS";40,24;27,73;16,88;11,05;0,40;3,70;100,00
"270130 CAJUEIRO";34,83;28,66;21,15;12,61;0,21;2,54;100,00
"270135 CAMPESTRE";26,97;31,65;25,12;15,85;-;0,41;100,00
"270140 CAMPO ALEGRE";33,60;24,82;27,21;13,03;0,12;1,21;100,00
"270150 CAMPO GRANDE";38,10;38,64;14,03;5,89;0,25;3,09;100,00
"270160 CANAPI";47,25;25,11;17,34;7,28;0,23;2,80;100,00
"270170 CAPELA";34,56;23,43;24,87;15,81;0,17;1,15;100,00
"270180 CARNEIROS";23,91;35,01;28,57;9,45;0,13;2,93;100,00
"270190 CHA PRETA";26,59;34,52;22,81;12,12;0,10;3,86;100,00
"270200 COITE DO NOIA";32,14;34,38;20,62;9,27;0,30;3,30;100,00
"270210 COLONIA LEOPOLDINA";35,63;27,57;22,04;13,81;-;0,96;100,00
"270220 COQUEIRO SECO";17,72;34,54;27,92;19,08;-;0,73;100,00
"270230 CORURIPE";26,51;27,38;27,16;17,29;0,44;1,22;100,00
"270235 CRAIBAS";36,13;31,01;20,26;7,73;0,44;4,43;100,00
"270240 DELMIRO GOUVEIA";23,70;28,01;29,15;17,80;-;1,34;100,00
"270250 DOIS RIACHOS";37,68;25,68;20,04;9,51;0,35;6,74;100,00
"270255 ESTRELA DE ALAGOAS";37,44;31,83;21,94;6,57;0,08;2,13;100,00
"270260 FEIRA GRANDE";32,76;31,75;21,36;9,89;0,84;3,41;100,00
"270270 FELIZ DESERTO";26,63;29,79;23,59;13,91;0,26;5,82;100,00
"270280 FLEXEIRAS";40,99;20,81;24,39;11,42;-;2,40;100,00
"270290 GIRAU DO PONCIANO";33,25;34,33;20,64;8,23;0,07;3,47;100,00
"270300 IBATEGUARA";39,36;31,71;19,09;8,20;0,13;1,51;100,00
"270310 IGACI";33,56;30,87;22,21;10,27;0,59;2,50;100,00
"270320 IGREJA NOVA";30,88;27,96;27,43;8,62;0,86;4,25;100,00
"270330 INHAPI";42,28;30,44;19,39;4,89;0,74;2,26;100,00
"270340 JACARE DOS HOMENS";26,09;42,00;16,52;12,06;0,49;2,84;100,00
"270350 JACUIPE";40,55;27,49;20,09;11,87;-;-;100,00
"270360 JAPARATINGA";24,21;27,73;28,88;15,14;0,23;3,80;100,00
"270370 JARAMATAIA";42,29;18,03;25,13;10,33;0,11;4,10;100,00
"270380 JOAQUIM GOMES";40,82;26,20;22,03;9,03;0,15;1,75;100,00
"270390 JUNDIA";27,99;31,65;25,63;12,50;-;2,23;100,00
"270400 JUNQUEIRO";28,04;29,72;26,43;12,57;0,06;3,17;100,00
"270410 LAGOA DA CANOA";27,51;32,85;25,76;12,18;0,16;1,53;100,00
"270420 LIMOEIRO DE ANADIA";37,52;30,02;21,18;9,40;0,32;1,56;100,00
"270430 MACEIO";13,13;14,91;27,89;43,40;0,11;0,57;100,00
"270440 MAJOR ISIDORO";39,09;27,19;19,62;10,58;0,13;3,39;100,00
"270450 MARAGOGI";28,05;27,72;27,08;14,94;0,07;2,14;100,00
"270460 MARAVILHA";31,12;33,85;21,96;6,63;0,19;6,24;100,00
"270470 MARECHAL DEODORO";24,92;25,82;25,82;22,50;0,14;0,79;100,00
"270480 MARIBONDO";29,39;25,53;27,43;15,21;0,11;2,33;100,00
"270490 MAR VERMELHO";23,56;28,77;29,96;12,83;0,85;4,03;100,00
"270500 MATA GRANDE";36,37;31,27;17,75;11,12;0,13;3,36;100,00
"270510 MATRIZ DE CAMARAGIBE";30,68;28,44;24,61;15,17;-;1,10;100,00
"270520 MESSIAS";29,35;27,71;28,23;12,19;0,28;2,24;100,00
"270530 MINADOR DO NEGRAO";32,33;32,58;18,77;11,07;-;5,25;100,00
"270540 MONTEIROPOLIS";29,69;34,23;20,88;10,35;3,64;1,21;100,00
"270550 MURICI";32,88;28,69;23,07;14,66;0,18;0,52;100,00
"270560 NOVO LINO";37,69;30,70;19,15;9,60;-;2,86;100,00
"270570 OLHO D'AGUA DAS FLORES";23,56;32,63;25,84;16,32;0,27;1,38;100,00
"270580 OLHO D'AGUA DO CASADO";28,44;38,21;22,89;6,76;1,01;2,69;100,00
"270590 OLHO D'AGUA GRANDE";34,93;34,36;17,45;8,77;1,05;3,44;100,00
"270600 OLIVENCA";29,83;35,92;18,47;9,10;0,44;6,23;100,00
"270610 OURO BRANCO";19,61;37,93;25,87;12,92;1,18;2,49;100,00
"270620 PALESTINA";17,38;29,19;30,09;18,01;2,42;2,91;100,00
"270630 PALMEIRA DOS INDIOS";24,11;23,80;28,91;22,08;0,08;1,03;100,00
"270640 PAO DE ACUCAR";28,77;28,15;22,60;18,71;0,27;1,50;100,00
"270642 PARICONHA";35,18;31,54;23,70;7,11;0,32;2,15;100,00
"270644 PARIPUEIRA";27,41;22,42;30,52;19,03;-;0,61;100,00
"270650 PASSO DE CAMARAGIBE";28,93;32,75;25,18;12,34;-;0,80;100,00
"270660 PAULO JACINTO";24,44;32,71;24,16;16,40;0,25;2,04;100,00
"270670 PENEDO";22,94;21,41;28,13;26,21;0,21;1,09;100,00
"270680 PIACABUCU";24,93;33,79;24,80;15,59;0,05;0,85;100,00
"270690 PILAR";25,96;26,49;29,21;17,37;0,06;0,92;100,00
"270700 PINDOBA";32,83;38,07;21,07;5,29;-;2,73;100,00
"270710 PIRANHAS";30,91;28,58;22,35;16,45;0,35;1,35;100,00
"270720 POCO DAS TRINCHEIRAS";24,52;41,11;17,95;7,91;1,62;6,88;100,00
"270730 PORTO CALVO";30,92;28,89;23,81;15,29;0,11;0,98;100,00
"270740 PORTO DE PEDRAS";41,79;24,94;22,14;9,93;0,48;0,73;100,00
"270750 PORTO REAL DO COLEGIO";33,50;26,20;22,38;12,87;1,02;4,03;100,00
"270760 QUEBRANGULO";33,94;30,90;22,86;9,83;0,25;2,22;100,00
"270770 RIO LARGO";20,85;18,82;31,57;27,61;0,04;1,10;100,00
"270780 ROTEIRO";46,06;26,09;18,11;8,83;0,05;0,87;100,00
"270790 SANTA LUZIA DO NORTE";22,15;26,05;32,29;18,52;-;0,98;100,00
"270800 SANTANA DO IPANEMA";27,14;27,56;27,24;17,16;-;0,91;100,00
"270810 SANTANA DO MUNDAU";30,39;32,13;22,77;10,62;1,57;2,52;100,00
"270820 SAO BRAS";29,70;25,34;24,36;16,91;0,86;2,83;100,00
"270830 SAO JOSE DA LAJE";34,84;21,75;24,64;16,98;0,24;1,54;100,00
"270840 SAO JOSE DA TAPERA";35,74;32,52;20,85;8,25;0,37;2,26;100,00
"270850 SAO LUIS DO QUITUNDE";34,83;28,71;20,44;13,53;0,52;1,97;100,00
"270860 SAO MIGUEL DOS CAMPOS";23,20;23,25;27,03;24,11;0,22;2,17;100,00
"270870 SAO MIGUEL DOS MILAGRES";22,04;32,81;28,78;15,38;0,31;0,67;100,00
"270880 SAO SEBASTIAO";36,33;29,99;22,04;8,02;0,51;3,11;100,00
"270890 SATUBA";17,73;17,26;27,21;35,85;0,08;1,87;100,00
"270895 SENADOR RUI PALMEIRA";29,05;41,16;18,94;7,31;1,33;2,21;100,00
"270900 TANQUE D'ARCA";32,89;31,10;22,56;10,77;0,33;2,35;100,00
"270910 TAQUARANA";30,50;31,82;23,90;9,55;0,09;4,15;100,00
"270915 TEOTONIO VILELA";28,54;28,12;27,70;13,62;0,23;1,79;100,00
"270920 TRAIPU";44,59;27,82;15,53;8,46;0,10;3,49;100,00
"270930 UNIAO DOS PALMARES";36,15;23,15;22,77;16,75;0,23;0,95;100,00
"270940 VICOSA";31,29;26,64;24,40;15,99;0,20;1,48;100,00
"280010 AMPARO DE SAO FRANCISCO";34,76;15,13;28,43;19,21;-;2,46;100,00
"280020 AQUIDABA";26,92;29,03;26,34;16,62;-;1,10;100,00
"280030 ARACAJU";7,07;12,84;26,68;52,32;0,08;1,00;100,00
"280040 ARAUA";24,15;30,62;26,01;16,35;0,18;2,69;100,00
"280050 AREIA BRANCA";22,81;29,75;31,69;14,49;0,06;1,19;100,00
"280060 BARRA DOS COQUEIROS";14,10;20,34;28,79;34,65;0,44;1,68;100,00
"280067 BOQUIM";24,06;27,78;26,82;19,24;0,28;1,81;100,00
"280070 BREJO GRANDE";29,84;30,15;25,66;12,63;-;1,71;100,00
"280100 CAMPO DO BRITO";26,28;30,78;27,09;14,30;0,07;1,48;100,00
"280110 CANHOBA";25,97;30,15;26,79;14,05;-;3,03;100,00
"280120 CANINDE DE SAO FRANCISCO";27,89;35,67;22,94;10,30;0,96;2,24;100,00
"280130 CAPELA";23,36;29,69;27,94;17,78;0,11;1,13;100,00
"280140 CARIRA";31,14;36,13;20,63;10,12;0,21;1,77;100,00
"280150 CARMOPOLIS";15,96;23,05;34,33;24,66;0,07;1,93;100,00
"280160 CEDRO DE SAO JOAO";15,02;22,28;29,07;30,17;0,45;3,01;100,00
"280170 CRISTINAPOLIS";26,32;33,60;26,08;12,33;-;1,66;100,00
"280190 CUMBE";23,95;27,62;24,81;18,20;-;5,43;100,00
"280200 DIVINA PASTORA";22,41;26,95;28,70;17,54;1,28;3,12;100,00
"280210 ESTANCIA";17,37;26,82;31,71;23,13;0,09;0,89;100,00
"280220 FEIRA NOVA";25,78;25,84;26,03;17,60;0,46;4,28;100,00
"280230 FREI PAULO";25,25;28,17;28,03;16,20;0,06;2,29;100,00
"280240 GARARU";30,94;28,96;22,61;12,48;0,91;4,10;100,00
"280250 GENERAL MAYNARD";23,15;22,47;26,44;27,50;-;0,43;100,00
"280260 GRACHO CARDOSO";23,34;25,84;23,91;21,25;2,06;3,58;100,00
"280270 ILHA DAS FLORES";18,70;30,42;31,74;18,38;-;0,77;100,00
"280280 INDIAROBA";28,12;31,18;29,21;11,02;-;0,47;100,00
"280290 ITABAIANA";21,78;27,26;31,40;18,19;0,09;1,29;100,00
"280300 ITABAIANINHA";32,73;29,90;23,46;12,57;0,13;1,20;100,00
"280310 ITABI";25,09;26,34;31,92;15,50;0,14;1,00;100,00
"280320 ITAPORANGA D'AJUDA";23,87;31,45;26,46;16,97;0,14;1,11;100,00
"280330 JAPARATUBA";18,38;23,70;33,14;22,86;0,24;1,68;100,00
"280340 JAPOATA";30,55;28,02;27,16;11,12;0,06;3,09;100,00
"280350 LAGARTO";23,33;28,46;28,38;17,96;0,13;1,74;100,00
