 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"120060 TARAUACA";44,79;13,91;18,06;19,33;0,52;3,40;100,00
"120070 XAPURI";29,58;21,97;22,11;21,59;0,52;4,22;100,00
"120080 PORTO ACRE";29,52;21,42;30,28;15,62;-;3,15;100,00
"130002 ALVARAES";28,30;27,40;31,23;11,03;0,79;1,25;100,00
"130006 AMATURA";27,43;22,16;29,22;18,65;-;2,55;100,00
"130008 ANAMA";25,67;26,97;31,34;13,55;0,17;2,30;100,00
"130010 ANORI";28,10;22,47;27,98;19,73;0,39;1,33;100,00
"130014 APUI";20,07;27,89;35,60;14,74;0,05;1,66;100,00
"130020 ATALAIA DO NORTE";50,96;15,45;19,56;12,16;-;1,87;100,00
"130030 AUTAZES";18,01;24,23;37,61;16,10;0,85;3,20;100,00
"130040 BARCELOS";42,50;16,30;27,31;12,99;0,32;0,58;100,00
"130050 BARREIRINHA";15,90;28,00;35,65;18,44;0,35;1,66;100,00
"130060 BENJAMIN CONSTANT";29,75;18,85;33,31;17,10;0,22;0,78;100,00
"130063 BERURI";43,54;22,70;22,33;10,92;0,03;0,47;100,00
"130068 BOA VISTA DO RAMOS";10,93;24,08;48,02;16,29;-;0,67;100,00
"130070 BOCA DO ACRE";33,58;23,76;25,40;16,93;0,13;0,20;100,00
"130080 BORBA";29,00;27,06;26,83;15,44;-;1,67;100,00
"130083 CAAPIRANGA";26,70;25,81;29,22;15,36;0,47;2,44;100,00
"130090 CANUTAMA";42,82;16,76;22,74;16,55;0,46;0,67;100,00
"130100 CARAUARI";41,65;17,72;28,89;9,67;0,36;1,71;100,00
"130110 CAREIRO";25,26;27,68;36,87;8,84;0,10;1,25;100,00
"130115 CAREIRO DA VARZEA";20,55;30,25;36,92;11,53;0,04;0,71;100,00
"130120 COARI";29,58;21,70;28,74;18,66;0,18;1,15;100,00
"130130 CODAJAS";28,35;24,38;26,06;19,27;0,31;1,63;100,00
"130140 EIRUNEPE";43,79;16,76;20,23;18,14;0,44;0,65;100,00
"130150 ENVIRA";49,26;22,49;16,43;8,63;0,52;2,67;100,00
"130160 FONTE BOA";42,13;30,82;20,48;6,05;-;0,52;100,00
"130165 GUAJARA";46,34;20,00;20,82;10,77;0,84;1,23;100,00
"130170 HUMAITA";25,60;18,50;30,26;24,61;0,20;0,83;100,00
"130180 IPIXUNA";45,05;21,60;23,95;7,90;0,14;1,36;100,00
"130185 IRANDUBA";18,24;24,05;36,31;19,29;0,82;1,29;100,00
"130190 ITACOATIARA";11,05;21,71;38,55;28,16;0,06;0,46;100,00
"130195 ITAMARATI";57,48;15,27;14,33;7,39;1,92;3,61;100,00
