"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"230900 MUCAMBO",-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,3
"230945 OCARA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"230960 PACAJUS",63,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,65
"231020 PARACURU",-,1,-,-,-,-,-,-,4,-,-,-,1,-,-,-,-,-,6
"231070 PENTECOSTE",1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4
"231085 PINDORETAMA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"231110 PORTEIRAS",3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4
"231126 QUITERIANOPOLIS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"231140 QUIXERAMOBIM",-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59
"231170 RERIUTABA",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,6
"231195 SALITRE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"231200 SANTANA DO ACARAU",-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
"231280 SENADOR SA",-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,4
"231290 SOBRAL",4,1,-,-,-,-,-,91,-,-,-,-,-,-,-,-,-,-,96
"231335 TEJUCUOCA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"231340 TIANGUA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2
"231350 TRAIRI",-,-,-,-,-,-,-,3,4,-,-,-,-,-,-,-,-,-,7
"231355 TURURU",-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,3
"231360 UBAJARA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2
"231375 UMIRIM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"231380 URUBURETAMA",-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,60
"231390 URUOCA",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"231395 VARJOTA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"240010 ACARI",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"240020 ACU",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"240070 ALTO DO RODRIGUES",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
"240145 BARAUNA",-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,3
"240320 DOUTOR SEVERIANO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"240325 PARNAMIRIM",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"240340 EQUADOR",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"240370 FELIPE GUERRA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"240375 FERNANDO PEDROZA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"240420 GOIANINHA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"240450 GUAMARE",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"240470 IPANGUACU",-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3
"240530 JANUARIO CICCO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"240570 JARDIM DO SERIDO",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"240650 LAGOA NOVA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"240710 MACAIBA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"240720 MACAU",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"240740 MARTINS",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"240800 MOSSORO",2,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"240810 NATAL",5,6,-,-,1,1,-,-,-,-,1,1,7,2,1,2,2,1,30
"240940 PAU DOS FERROS",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"240980 PEDRO VELHO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"241080 RIACHO DE SANTANA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"241090 RIACHUELO",-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"241110 RUY BARBOSA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"241150 SANTO ANTONIO",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"241220 SAO JOSE DE MIPIBU",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"241250 SAO MIGUEL",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"241260 SAO PAULO DO POTENGI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"241350 SERRINHA",-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2
"241355 SERRINHA DOS PINTOS",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"241360 SEVERIANO MELO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"241410 TENENTE ANANIAS",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"241445 TRIUNFO POTIGUAR",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2
"241450 UMARIZAL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250030 ALAGOA GRANDE",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"250077 APARECIDA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250090 ARARA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250110 AREIA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"250115 AREIA DE BARAUNAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250120 AREIAL",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250150 BANANEIRAS",2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"250157 BARRA DE SANTANA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"250160 BARRA DE SANTA ROSA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250170 BARRA DE SAO MIGUEL",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"250180 BAYEUX",1,-,-,1,-,-,-,-,-,-,-,-,4,-,-,-,-,-,6
"250215 BOA VISTA",11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
"250250 BOQUEIRAO",1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"250300 CAAPORA",-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2
"250310 CABACEIRAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250320 CABEDELO",1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
"250400 CAMPINA GRANDE",182,2,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,190
"250403 CAPIM",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"250435 CATURITE",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"250450 CONDADO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250460 CONDE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"250470 CONGO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250510 CUITE",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"250570 DONA INES",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"250580 DUAS ESTRADAS",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250600 ESPERANCA",9,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,11
"250630 GUARABIRA",3,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,5
"250640 GURINHEM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250670 IMACULADA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"250680 INGA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"250690 ITABAIANA",-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"250710 ITAPOROROCA",3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"250740 JERICO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250750 JOAO PESSOA",51,5,-,55,-,-,7,-,1,-,-,-,23,2,1,-,-,-,145
"250760 JUAREZ TAVORA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250770 JUAZEIRINHO",7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"250800 JURU",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"250830 LAGOA SECA",11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
"250855 LOGRADOURO",1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"250870 MAE D'AGUA",-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4
"250890 MAMANGUAPE",26,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,33
"250933 MATINHAS",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"250950 MONTADAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251050 OLIVEDOS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251070 PASSAGEM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251080 PATOS",12,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,13
"251110 PEDRA LAVRADA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251120 PEDRAS DE FOGO",14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
"251140 PICUI",1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"251150 PILAR",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"251160 PILOES",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251200 POCINHOS",10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
"251207 POCO DE JOSE DE MOURA",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251240 PUXINANA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251250 QUEIMADAS",14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
"251270 REMIGIO",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"251290 RIO TINTO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251315 SANTA CECILIA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"251370 SANTA RITA",17,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,20
"251385 SANTO ANDRE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251390 SAO BENTO",3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"251490 SAO MAMEDE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251530 SAPE",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"251550 SERRA BRANCA",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"251590 SERRARIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251600 SOLANEA",2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4
"251610 SOLEDADE",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"251620 SOUSA",-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,11
"251630 SUME",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"251650 TAPEROA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"251670 TEIXEIRA",6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"251680 TRIUNFO",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"251690 UIRAUNA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260005 ABREU E LIMA",-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,8
"260010 AFOGADOS DA INGAZEIRA",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"260050 AGUAS BELAS",-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"260060 ALAGOINHA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260105 ARACOIABA",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260120 ARCOVERDE",-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,3
"260140 BARREIROS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3
"260160 BELEM DE SAO FRANCISCO",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
"260170 BELO JARDIM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260190 BEZERROS",-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
"260210 BOM CONSELHO",-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,6
"260230 BONITO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"260260 BREJO DA MADRE DE DEUS",1,-,-,-,-,-,-,-,-,-,-,-,10,-,-,1,-,-,12
"260290 CABO DE SANTO AGOSTINHO",-,-,-,-,-,-,27,-,-,-,-,-,3,-,-,-,-,-,30
"260300 CABROBO",-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
"260320 CAETES",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260340 CALUMBI",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
"260345 CAMARAGIBE",-,-,-,-,1,-,4,-,1,-,-,-,1,-,-,-,-,-,7
"260350 CAMOCIM DE SAO FELIX",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260380 CAPOEIRAS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,5
"260400 CARPINA",-,-,-,-,1,-,2,-,-,-,-,-,2,-,-,-,-,-,5
"260410 CARUARU",-,-,-,-,-,-,-,3,-,-,-,-,24,-,-,1,-,-,28
"260415 CASINHAS",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260420 CATENDE",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260430 CEDRO",-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"260440 CHA DE ALEGRIA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"260450 CHA GRANDE",-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,3
"260460 CONDADO",-,3,-,3,-,-,3,-,1,-,-,-,-,-,-,-,-,-,10
"260500 CUPIRA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"260510 CUSTODIA",-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,4
"260520 ESCADA",-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,6
"260545 FERNANDO DE NORONHA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260550 FERREIROS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"260580 FREI MIGUELINHO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"260590 GAMELEIRA",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"260600 GARANHUNS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2
"260610 GLORIA DO GOITA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"260620 GOIANA",6,1,-,-,-,-,26,2,-,-,1,-,1,-,-,-,-,-,37
"260640 GRAVATA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"260660 IBIMIRIM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,14
"260680 IGARASSU",-,-,2,1,-,-,3,1,-,-,-,-,-,3,-,-,-,-,10
"260720 IPOJUCA",-,-,-,1,-,-,1,-,-,-,-,-,-,3,1,-,-,-,6
"260750 ITAIBA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"260760 ILHA DE ITAMARACA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"260765 ITAMBE",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"260775 ITAPISSUMA",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
"260790 JABOATAO DOS GUARARAPES",2,-,-,-,-,-,6,-,1,-,-,-,8,5,-,-,-,-,22
"260800 JATAUBA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"260845 LAGOA DO CARRO",-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5
"260850 LAGOA DE ITAENGA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"260880 LAJEDO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,10
"260890 LIMOEIRO",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"260950 NAZARE DA MATA",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
"260960 OLINDA",1,1,-,-,-,-,8,1,-,-,-,-,3,-,-,-,-,-,14
"260990 OURICURI",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"261000 PALMARES",-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"261030 PARANATAMA",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"261070 PAULISTA",2,-,-,-,-,-,6,-,-,-,-,-,11,1,-,-,-,-,20
"261080 PEDRA",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"261090 PESQUEIRA",2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,9
"261110 PETROLINA",-,-,-,-,2,-,-,-,-,-,-,-,1,2,-,-,-,-,5
"261150 QUIPAPA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"261160 RECIFE",39,4,1,3,2,1,75,13,4,-,-,4,101,21,-,1,4,1,274
"261170 RIACHO DAS ALMAS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"261180 RIBEIRAO",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"261190 RIO FORMOSO",-,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"261250 SANTA CRUZ DO CAPIBARIBE",-,-,-,-,-,-,-,-,-,-,-,-,65,-,-,1,-,-,66
"261270 SANTA MARIA DO CAMBUCA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"261300 SAO BENTO DO UNA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"261310 SAO CAITANO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"261330 SAO JOAQUIM DO MONTE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"261360 SAO JOSE DO EGITO",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"261370 SAO LOURENCO DA MATA",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
"261400 SERRITA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"261410 SERTANIA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"261420 SIRINHAEM",-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,3
"261450 SURUBIM",1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3
"261470 TACAIMBO",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"261485 TAMANDARE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"261500 TAQUARITINGA DO NORTE",-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,38
"261520 TERRA NOVA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"261530 TIMBAUBA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,2
"261540 TORITAMA",1,-,-,-,-,-,-,-,-,-,1,-,25,-,-,-,-,-,27
"261550 TRACUNHAEM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"261620 VERTENTES",-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,15
"261640 VITORIA DE SANTO ANTAO",-,1,-,2,1,-,11,-,-,-,-,-,1,-,-,-,-,-,16
"270030 ARAPIRACA",-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
"270040 ATALAIA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"270170 CAPELA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,10
"270180 CARNEIROS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"270230 CORURIPE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"270290 GIRAU DO PONCIANO",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"270300 IBATEGUARA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"270320 IGREJA NOVA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"270430 MACEIO",36,9,-,-,-,-,-,-,-,-,-,-,15,3,1,-,-,-,64
"270440 MAJOR ISIDORO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"270450 MARAGOGI",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"270500 MATA GRANDE",-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,7
"270630 PALMEIRA DOS INDIOS",3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4
"270640 PAO DE ACUCAR",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"270644 PARIPUEIRA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
"270710 PIRANHAS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"270720 POCO DAS TRINCHEIRAS",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"270780 ROTEIRO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"270800 SANTANA DO IPANEMA",-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,6
"270840 SAO JOSE DA TAPERA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"280030 ARACAJU",6,1,-,-,-,-,1,-,-,-,-,3,1,-,-,-,-,-,12
"280210 ESTANCIA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"280290 ITABAIANA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"280350 LAGARTO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"280580 RIACHAO DO DANTAS",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"280590 RIACHUELO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"280620 SALGADO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"280670 SAO CRISTOVAO",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"280710 SIMAO DIAS",-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,7
"280760 UMBAUBA",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
"290080 ALCOBACA",-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"290135 ANDORINHA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"290160 ANTAS",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"290210 ARACI",-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2
"290320 BARREIRAS",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"290327 BARROCAS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
"290350 BELO CAMPO",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"290360 BIRITINGA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"290370 BOA NOVA",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
"290440 BREJOLANDIA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"290520 CAETITE",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"290540 CAIRU",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"290560 CAMACAN",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"290570 CAMACARI",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
"290590 CAMPO ALEGRE DE LOURDES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"290610 CANAPOLIS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"290650 CANDEIAS",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"290700 CARDEAL DA SILVA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"290730 CASTRO ALVES",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"290770 CHORROCHO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"290820 CONCEICAO DA FEIRA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"290840 CONCEICAO DO COITE",1,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,4
"290860 CONDE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"290930 CORRENTINA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"291005 DIAS D'AVILA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
