"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"150090 AUGUSTO CORREA",-,-,-,-,-,-,-,-,-,-,-,-,-,96,-,-,-,-,96
"150095 AURORA DO PARA",-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
"150110 BAGRE",-,-,-,-,-,-,-,-,-,-,-,-,-,79,-,-,-,-,79
"150125 BANNACH",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"150130 BARCARENA",-,2,-,-,-,-,-,-,-,-,-,-,1,65,-,-,-,-,68
"150140 BELEM",2,16,-,5,-,-,-,-,-,-,-,10,180,1352,2,-,-,-,1567
"150150 BENEVIDES",-,-,-,-,-,-,-,-,-,-,-,-,3,51,-,-,-,-,54
"150160 BONITO",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"150170 BRAGANCA",-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,54
"150175 BREJO GRANDE DO ARAGUAIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"150180 BREVES",-,-,-,-,-,-,-,-,-,-,-,-,-,198,1,-,-,-,199
"150200 CACHOEIRA DO ARARI",-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,6
"150210 CAMETA",-,2,-,-,-,-,-,-,-,-,-,-,-,134,1,-,-,-,137
"150215 CANAA DOS CARAJAS",-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,4
"150220 CAPANEMA",1,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,17
"150230 CAPITAO POCO",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"150240 CASTANHAL",1,7,-,-,-,-,-,-,-,-,-,-,18,56,3,-,-,-,85
"150250 CHAVES",-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,-,-,9
"150275 CONCORDIA DO PARA",-,1,1,-,-,-,-,-,-,-,-,-,-,8,1,-,-,-,11
"150280 CURRALINHO",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"150285 CURUA",-,-,-,-,-,-,-,-,-,-,-,7,-,1,-,-,-,-,8
"150290 CURUCA",2,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,40
"150300 FARO",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"150304 FLORESTA DO ARAGUAIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"150307 GARRAFAO DO NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"150309 GOIANESIA DO PARA",-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"150310 GURUPA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"150320 IGARAPE-ACU",-,-,-,-,-,-,-,-,-,-,-,-,1,17,-,-,-,-,18
"150330 IGARAPE-MIRI",-,-,-,-,-,-,-,-,-,-,-,-,9,111,-,-,-,-,120
"150340 INHANGAPI",-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,5
"150345 IPIXUNA DO PARA",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"150350 IRITUIA",2,7,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,13
"150360 ITAITUBA",1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,4
"150370 ITUPIRANGA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"150375 JACAREACANGA",-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3
"150380 JACUNDA",-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
"150390 JURUTI",-,36,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,43
"150400 LIMOEIRO DO AJURU",-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,34
"150405 MAE DO RIO",-,-,-,-,-,-,-,-,-,-,-,-,-,76,-,-,-,-,76
"150420 MARABA",-,4,-,-,-,-,-,-,-,-,-,-,45,115,-,-,-,-,164
"150430 MARACANA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"150440 MARAPANIM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"150442 MARITUBA",2,13,-,-,-,-,-,-,-,-,-,-,10,153,3,-,-,-,181
"150450 MELGACO",-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,34
"150460 MOCAJUBA",-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,32
"150470 MOJU",-,-,-,-,-,-,-,-,-,-,-,-,1,136,-,-,-,-,137
"150480 MONTE ALEGRE",-,2,-,-,-,-,-,-,-,-,-,7,14,4,-,-,-,-,27
"150490 MUANA",-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,19
"150495 NOVA ESPERANCA DO PIRIA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"150497 NOVA IPIXUNA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"150506 NOVO REPARTIMENTO",-,1,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,37
"150510 OBIDOS",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"150520 OEIRAS DO PARA",-,-,-,-,-,-,-,-,-,-,-,-,-,9,1,-,-,-,10
"150530 ORIXIMINA",-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
"150548 PACAJA",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"150550 PARAGOMINAS",-,20,-,-,-,-,-,-,-,-,-,-,1,51,-,-,-,-,72
"150553 PARAUAPEBAS",-,33,2,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,115
"150570 PONTA DE PEDRAS",-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,12
"150580 PORTEL",-,-,-,-,-,-,-,-,-,-,-,-,-,125,2,-,-,-,127
"150590 PORTO DE MOZ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2
"150600 PRAINHA",-,109,-,-,-,-,-,-,-,-,-,3,37,-,-,-,-,-,149
"150610 PRIMAVERA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2
"150613 REDENCAO",-,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,5
"150620 SALINOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,54
"150630 SALVATERRA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"150635 SANTA BARBARA DO PARA",-,2,-,-,-,-,-,-,-,-,-,-,4,10,-,-,-,-,16
"150640 SANTA CRUZ DO ARARI",-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,31
"150650 SANTA IZABEL DO PARA",-,13,-,-,-,-,-,-,-,-,-,-,1,18,-,-,-,-,32
"150660 SANTA MARIA DO PARA",-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,4
"150670 SANTANA DO ARAGUAIA",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"150680 SANTAREM",-,21,-,-,-,-,-,-,-,-,-,42,4,1,-,-,-,-,68
"150700 SANTO ANTONIO DO TAUA",-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"150715 SAO DOMINGOS DO ARAGUAIA",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
