 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"241470 VARZEA";55,96;13,07;23,01;7,96;-;100,00
"241480 VERA CRUZ";49,12;23,79;19,00;7,99;0,10;100,00
"241490 VICOSA";50,64;17,47;22,32;9,57;-;100,00
"241500 VILA FLOR";43,76;19,43;27,41;9,40;-;100,00
"250010 AGUA BRANCA";44,56;21,96;23,85;9,64;-;100,00
"250020 AGUIAR";57,81;19,29;14,94;7,96;-;100,00
"250030 ALAGOA GRANDE";51,53;19,86;18,57;9,99;0,05;100,00
"250040 ALAGOA NOVA";44,48;25,55;20,98;8,96;0,04;100,00
"250050 ALAGOINHA";60,32;17,52;14,68;7,47;-;100,00
"250060 ALHANDRA";51,51;22,20;20,07;6,23;-;100,00
"250070 SAO JOAO DO RIO DO PEIXE";44,24;18,87;24,96;11,89;0,04;100,00
"250080 ARACAGI";57,10;20,27;16,78;5,85;-;100,00
"250090 ARARA";51,89;21,70;19,91;6,50;-;100,00
"250100 ARARUNA";51,54;23,05;19,19;6,22;-;100,00
"250110 AREIA";48,13;21,54;18,71;11,46;0,17;100,00
"250120 AREIAL";29,45;34,86;26,17;9,52;-;100,00
"250130 AROEIRAS";57,05;23,49;13,66;5,62;0,18;100,00
"250140 BAIA DA TRAICAO";44,83;23,54;19,56;12,07;-;100,00
"250150 BANANEIRAS";58,29;16,03;17,88;7,80;-;100,00
"250160 BARRA DE SANTA ROSA";55,73;22,68;15,16;6,43;-;100,00
"250170 BARRA DE SAO MIGUEL";44,29;22,54;29,12;4,05;-;100,00
"250180 BAYEUX";27,98;17,66;32,63;21,64;0,09;100,00
"250190 BELEM";51,54;16,92;20,49;11,05;-;100,00
"250200 BELEM DO BREJO DO CRUZ";49,21;24,16;16,50;10,04;0,10;100,00
"250210 BOA VENTURA";53,60;15,91;19,90;10,59;-;100,00
"250220 BOM JESUS";41,87;28,82;15,87;11,59;1,85;100,00
"250230 BOM SUCESSO";44,31;22,20;21,46;12,03;-;100,00
"250240 BONITO DE SANTA FE";52,82;17,07;19,51;10,52;0,08;100,00
"250250 BOQUEIRAO";41,45;26,47;23,82;8,26;-;100,00
"250260 IGARACY";47,61;19,10;22,32;10,97;-;100,00
"250270 BORBOREMA";54,51;13,56;21,77;10,16;-;100,00
"250280 BREJO DO CRUZ";47,71;17,66;20,82;13,75;0,06;100,00
"250290 BREJO DOS SANTOS";45,86;18,55;25,12;10,47;-;100,00
"250300 CAAPORA";43,69;26,92;22,58;6,81;-;100,00
"250310 CABACEIRAS";30,59;28,34;31,14;9,68;0,24;100,00
"250320 CABEDELO";24,92;17,88;30,75;26,25;0,20;100,00
"250330 CACHOEIRA DOS INDIOS";48,17;21,69;22,34;7,50;0,31;100,00
"250340 CACIMBA DE AREIA";45,54;26,46;18,19;9,63;0,18;100,00
"250350 CACIMBA DE DENTRO";60,70;21,86;13,46;3,99;-;100,00
"250360 CAICARA";53,39;21,79;16,80;8,02;-;100,00
"250370 CAJAZEIRAS";35,19;16,42;26,34;21,81;0,25;100,00
"250380 CALDAS BRANDAO";49,17;26,50;17,58;6,75;-;100,00
"250390 CAMALAU";47,07;25,37;20,23;7,33;-;100,00
"250400 CAMPINA GRANDE";21,22;16,43;29,98;32,27;0,10;100,00
"250410 CARRAPATEIRA";38,80;27,34;21,96;11,90;-;100,00
"250420 CATINGUEIRA";58,70;15,46;13,78;10,79;1,28;100,00
"250430 CATOLE DO ROCHA";40,23;16,05;26,13;17,52;0,06;100,00
"250440 CONCEICAO";48,30;21,28;18,64;11,78;-;100,00
"250450 CONDADO";43,26;26,35;19,08;11,23;0,09;100,00
"250460 CONDE";44,80;27,48;20,25;7,40;0,07;100,00
"250470 CONGO";48,09;21,79;24,04;6,07;-;100,00
"250480 COREMAS";49,52;22,85;17,79;9,58;0,25;100,00
"250490 CRUZ DO ESPIRITO SANTO";58,13;19,25;14,02;8,59;-;100,00
"250500 CUBATI";35,51;34,83;22,66;7,00;-;100,00
"250510 CUITE";49,25;22,38;19,59;8,79;-;100,00
"250520 CUITEGI";56,61;19,41;17,16;6,82;-;100,00
"250530 CURRAL VELHO";38,86;38,86;13,77;8,51;-;100,00
"250540 DESTERRO";55,17;22,69;17,19;4,60;0,35;100,00
"250550 VISTA SERRANA";51,50;18,49;17,98;12,03;-;100,00
"250560 DIAMANTE";53,08;16,46;17,91;12,55;-;100,00
"250570 DONA INES";60,32;23,97;11,84;3,87;-;100,00
"250580 DUAS ESTRADAS";55,04;16,77;19,60;8,59;-;100,00
"250590 EMAS";44,74;28,99;17,27;8,82;0,19;100,00
"250600 ESPERANCA";40,92;19,61;26,65;12,82;-;100,00
"250610 FAGUNDES";51,19;23,84;18,01;6,96;-;100,00
"250620 FREI MARTINHO";28,71;25,23;31,47;14,59;-;100,00
"250630 GUARABIRA";37,88;17,32;25,68;19,12;-;100,00
"250640 GURINHEM";59,54;20,59;13,80;5,94;0,13;100,00
"250650 GURJAO";32,95;26,13;27,78;13,14;-;100,00
"250660 IBIARA";55,79;12,91;18,97;12,33;-;100,00
"250670 IMACULADA";55,24;19,81;18,22;6,72;-;100,00
"250680 INGA";50,37;27,35;16,32;5,96;-;100,00
"250690 ITABAIANA";41,84;17,03;25,44;15,39;0,29;100,00
"250700 ITAPORANGA";42,76;17,24;21,85;17,73;0,42;100,00
"250710 ITAPOROROCA";56,49;23,22;14,06;6,23;-;100,00
"250720 ITATUBA";49,09;30,42;15,23;5,27;-;100,00
"250730 JACARAU";59,75;19,39;15,44;5,41;-;100,00
"250740 JERICO";49,43;18,25;22,37;9,77;0,19;100,00
"250750 JOAO PESSOA";15,99;12,99;26,12;44,81;0,10;100,00
"250760 JUAREZ TAVORA";56,80;22,35;13,32;7,53;-;100,00
"250770 JUAZEIRINHO";38,01;34,06;21,13;6,80;-;100,00
"250780 JUNCO DO SERIDO";33,60;30,66;24,87;10,60;0,27;100,00
"250790 JURIPIRANGA";52,74;24,12;17,41;5,72;-;100,00
"250800 JURU";53,60;23,24;18,70;4,45;-;100,00
"250810 LAGOA";51,40;19,56;19,27;9,78;-;100,00
"250820 LAGOA DE DENTRO";48,94;24,47;18,36;8,22;-;100,00
"250830 LAGOA SECA";35,92;27,86;25,30;10,91;-;100,00
"250840 LASTRO";53,59;19,95;20,36;6,10;-;100,00
"250850 LIVRAMENTO";44,34;21,35;26,37;7,81;0,12;100,00
"250860 LUCENA";47,49;27,89;16,88;7,74;-;100,00
"250870 MAE D'AGUA";54,45;28,54;13,32;3,46;0,23;100,00
"250880 MALTA";40,96;27,85;18,33;12,86;-;100,00
"250890 MAMANGUAPE";55,52;19,24;16,80;8,45;-;100,00
"250900 MANAIRA";51,56;24,60;17,49;6,34;-;100,00
"250910 MARI";48,89;24,96;18,75;7,09;0,32;100,00
"250920 MASSARANDUBA";49,70;23,77;16,25;10,28;-;100,00
"250930 MATARACA";45,89;23,39;20,27;10,45;-;100,00
"250940 MOGEIRO";56,58;20,59;16,36;6,47;-;100,00
"250950 MONTADAS";36,09;33,63;25,81;4,47;-;100,00
"250960 MONTE HOREBE";47,91;26,02;18,87;6,52;0,68;100,00
"250970 MONTEIRO";41,86;22,95;21,33;13,71;0,15;100,00
"250980 MULUNGU";50,24;27,66;15,79;6,31;-;100,00
"250990 NATUBA";62,28;17,65;13,91;6,16;-;100,00
"251000 NAZAREZINHO";39,69;30,62;20,40;9,30;-;100,00
"251010 NOVA FLORESTA";46,83;22,36;19,78;11,02;-;100,00
"251020 NOVA OLINDA";51,50;18,74;20,35;9,42;-;100,00
"251030 NOVA PALMEIRA";34,06;30,24;27,81;7,89;-;100,00
"251040 OLHO D'AGUA";48,50;22,82;20,24;8,44;-;100,00
"251050 OLIVEDOS";28,75;38,32;24,66;8,27;-;100,00
"251060 OURO VELHO";32,54;32,20;19,51;15,76;-;100,00
"251070 PASSAGEM";52,40;19,99;23,75;3,86;-;100,00
"251080 PATOS";28,38;18,43;26,22;26,78;0,19;100,00
"251090 PAULISTA";50,05;21,96;20,06;7,93;-;100,00
"251100 PEDRA BRANCA";45,46;17,57;20,60;16,38;-;100,00
"251110 PEDRA LAVRADA";42,03;29,44;21,96;6,57;-;100,00
"251120 PEDRAS DE FOGO";57,65;17,15;17,62;7,58;-;100,00
"251130 PIANCO";45,29;17,76;16,93;19,92;0,10;100,00
"251140 PICUI";39,55;29,34;22,53;8,58;-;100,00
"251150 PILAR";57,08;18,28;17,15;7,48;-;100,00
"251160 PILOES";58,63;19,03;14,63;7,71;-;100,00
"251170 PILOEZINHOS";62,56;16,15;15,59;5,70;-;100,00
"251180 PIRPIRITUBA";48,92;20,62;19,78;10,68;-;100,00
"251190 PITIMBU";48,90;22,06;20,42;8,63;-;100,00
"251200 POCINHOS";47,66;22,68;16,35;13,31;-;100,00
"251210 POMBAL";41,94;23,03;20,62;14,36;0,06;100,00
"251220 PRATA";51,31;18,02;22,29;8,38;-;100,00
"251230 PRINCESA ISABEL";42,27;22,39;23,23;11,93;0,18;100,00
"251240 PUXINANA";44,64;20,77;26,48;8,03;0,08;100,00
"251250 QUEIMADAS";36,66;28,73;26,24;8,19;0,18;100,00
"251260 QUIXABA";46,47;22,93;25,31;5,29;-;100,00
"251270 REMIGIO";42,58;27,18;21,13;8,96;0,16;100,00
"251280 RIACHO DOS CAVALOS";48,92;24,34;17,92;8,82;-;100,00
"251290 RIO TINTO";50,88;13,73;20,99;14,34;0,05;100,00
"251300 SALGADINHO";58,46;24,87;12,66;3,81;0,19;100,00
"251310 SALGADO DE SAO FELIX";51,18;24,09;17,56;7,05;0,13;100,00
"251320 SANTA CRUZ";38,08;24,74;27,73;9,45;-;100,00
"251330 SANTA HELENA";45,59;21,41;22,88;10,12;-;100,00
"251340 SANTA LUZIA";28,82;22,13;27,73;21,32;-;100,00
"251350 SANTANA DE MANGUEIRA";69,07;11,41;14,10;5,43;-;100,00
"251360 SANTANA DOS GARROTES";55,61;16,55;18,39;9,45;-;100,00
"251370 SANTA RITA";36,37;18,83;28,42;16,32;0,05;100,00
"251380 SANTA TERESINHA";57,37;19,11;16,23;7,30;-;100,00
"251390 SAO BENTO";42,77;27,37;21,42;8,44;-;100,00
"251400 SAO JOAO DO CARIRI";40,96;25,39;24,39;9,25;-;100,00
"251410 SAO JOAO DO TIGRE";58,53;22,93;14,27;4,27;-;100,00
"251420 SAO JOSE DA LAGOA TAPADA";56,63;20,94;15,96;6,46;-;100,00
"251430 SAO JOSE DE CAIANA";60,70;18,22;14,28;6,80;-;100,00
"251440 SAO JOSE DE ESPINHARAS";49,21;25,15;21,86;3,78;-;100,00
"251450 SAO JOSE DE PIRANHAS";50,00;23,67;17,64;8,63;0,06;100,00
"251460 SAO JOSE DO BONFIM";38,93;29,97;21,80;9,30;-;100,00
"251470 SAO JOSE DO SABUGI";42,41;21,77;23,68;11,92;0,23;100,00
"251480 SAO JOSE DOS CORDEIROS";31,57;34,90;26,03;7,34;0,16;100,00
"251490 SAO MAMEDE";31,15;26,79;27,34;14,51;0,21;100,00
"251500 SAO MIGUEL DE TAIPU";58,56;18,42;18,50;4,32;0,20;100,00
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";46,13;26,47;19,85;7,51;0,04;100,00
"251520 SAO SEBASTIAO DO UMBUZEIRO";46,31;24,89;18,56;10,25;-;100,00
"251530 SAPE";49,19;20,82;20,45;9,38;0,15;100,00
"251540 SAO VICENTE DO SERIDO";48,37;31,47;15,36;4,80;-;100,00
"251550 SERRA BRANCA";33,52;28,53;25,39;12,56;-;100,00
"251560 SERRA DA RAIZ";60,66;10,71;19,20;9,43;-;100,00
"251570 SERRA GRANDE";55,91;20,58;17,81;5,70;-;100,00
"251580 SERRA REDONDA";50,11;21,24;21,99;6,53;0,13;100,00
"251590 SERRARIA";56,02;25,39;12,94;5,66;-;100,00
"251600 SOLANEA";56,27;17,08;15,83;10,81;-;100,00
"251610 SOLEDADE";37,12;25,87;27,24;9,77;-;100,00
"251620 SOUSA";38,12;20,08;25,00;16,74;0,08;100,00
"251630 SUME";34,53;31,84;24,76;8,87;-;100,00
"251640 TACIMA";60,54;19,28;14,79;5,38;-;100,00
"251650 TAPEROA";41,23;28,56;20,71;9,39;0,11;100,00
"251660 TAVARES";55,16;15,03;19,65;10,06;0,10;100,00
"251670 TEIXEIRA";48,10;21,77;18,80;11,33;-;100,00
"251680 TRIUNFO";45,54;23,56;19,46;11,21;0,23;100,00
"251690 UIRAUNA";45,65;22,24;21,27;10,84;-;100,00
"251700 UMBUZEIRO";55,64;25,69;15,10;3,57;-;100,00
"251710 VARZEA";29,55;24,39;30,45;15,61;-;100,00
"260005 ABREU E LIMA";17,54;16,71;40,66;25,03;0,06;100,00
"260010 AFOGADOS DA INGAZEIRA";29,37;25,79;28,65;16,16;0,03;100,00
"260020 AFRANIO";53,62;23,60;18,20;4,58;-;100,00
"260030 AGRESTINA";48,99;22,77;21,28;6,96;-;100,00
"260040 AGUA PRETA";54,89;18,97;18,08;8,06;-;100,00
"260050 AGUAS BELAS";60,25;16,89;15,44;7,43;-;100,00
"260060 ALAGOINHA";35,54;26,04;27,32;11,10;-;100,00
"260070 ALIANCA";44,89;20,64;26,38;8,08;-;100,00
"260080 ALTINHO";49,55;25,77;17,68;7,01;-;100,00
"260090 AMARAJI";52,51;17,38;21,69;8,41;-;100,00
"260100 ANGELIM";42,00;26,96;22,33;8,71;-;100,00
"260110 ARARIPINA";44,68;21,71;22,56;11,00;0,05;100,00
"260120 ARCOVERDE";24,53;17,21;29,81;28,15;0,30;100,00
"260130 BARRA DE GUABIRABA";50,46;22,14;20,24;6,92;0,24;100,00
"260140 BARREIROS";35,74;17,33;28,67;18,14;0,12;100,00
"260150 BELEM DE MARIA";47,15;24,53;19,22;9,11;-;100,00
"260160 BELEM DE SAO FRANCISCO";39,57;19,26;24,64;16,41;0,11;100,00
"260170 BELO JARDIM";45,60;16,45;23,08;14,87;-;100,00
"260180 BETANIA";43,75;25,28;21,62;9,34;-;100,00
"260190 BEZERROS";46,32;18,63;24,26;10,74;0,06;100,00
"260200 BODOCO";48,13;25,62;18,70;7,55;-;100,00
"260210 BOM CONSELHO";47,23;21,68;21,89;9,19;-;100,00
"260220 BOM JARDIM";46,97;21,38;21,91;9,59;0,16;100,00
"260230 BONITO";56,13;14,82;20,44;8,58;0,04;100,00
"260240 BREJAO";49,45;18,53;24,19;7,83;-;100,00
"260250 BREJINHO";46,51;25,11;22,37;5,82;0,19;100,00
"260260 BREJO DA MADRE DE DEUS";51,09;19,68;21,93;7,30;-;100,00
"260270 BUENOS AIRES";42,86;23,50;25,14;8,50;-;100,00
"260280 BUIQUE";59,40;19,97;13,88;6,75;-;100,00
"260290 CABO DE SANTO AGOSTINHO";24,34;18,64;35,81;21,18;0,03;100,00
"260300 CABROBO";37,24;26,78;24,03;11,88;0,06;100,00
"260310 CACHOEIRINHA";49,01;19,68;21,83;9,49;-;100,00
"260320 CAETES";59,58;19,73;17,71;2,94;0,04;100,00
"260330 CALCADO";43,11;24,62;21,74;10,52;-;100,00
"260340 CALUMBI";47,17;25,78;20,01;7,04;-;100,00
"260345 CAMARAGIBE";19,35;16,55;39,07;24,92;0,11;100,00
"260350 CAMOCIM DE SAO FELIX";50,28;17,37;25,30;7,05;-;100,00
"260360 CAMUTANGA";33,94;25,53;26,88;13,65;-;100,00
"260370 CANHOTINHO";56,78;18,42;17,80;7,00;-;100,00
"260380 CAPOEIRAS";52,93;18,84;22,56;5,67;-;100,00
"260390 CARNAIBA";47,36;22,81;22,85;6,98;-;100,00
"260400 CARPINA";27,04;21,66;32,32;18,93;0,05;100,00
"260410 CARUARU";27,35;16,92;30,13;25,58;0,02;100,00
"260420 CATENDE";41,62;18,88;22,69;16,81;-;100,00
"260430 CEDRO";40,13;30,39;22,56;6,92;-;100,00
"260440 CHA DE ALEGRIA";45,50;19,82;25,18;9,50;-;100,00
"260450 CHA GRANDE";50,43;22,28;21,92;5,37;-;100,00
"260460 CONDADO";42,76;14,63;26,86;15,75;-;100,00
"260470 CORRENTES";48,54;20,86;22,30;8,29;-;100,00
"260480 CORTES";46,26;30,75;16,26;6,58;0,14;100,00
"260490 CUMARU";51,90;17,36;22,61;8,12;-;100,00
"260500 CUPIRA";50,09;21,24;19,38;9,29;-;100,00
"260510 CUSTODIA";42,19;23,27;24,34;10,19;-;100,00
"260520 ESCADA";37,17;19,46;28,75;14,55;0,07;100,00
"260530 EXU";45,98;21,62;23,23;9,17;-;100,00
"260540 FEIRA NOVA";45,19;23,46;24,24;7,05;0,05;100,00
"260545 FERNANDO DE NORONHA";9,65;12,87;38,89;38,60;-;100,00
"260550 FERREIROS";40,45;23,66;26,79;9,11;-;100,00
"260560 FLORES";43,22;25,15;23,25;8,37;-;100,00
"260570 FLORESTA";36,92;20,94;25,39;16,64;0,11;100,00
"260580 FREI MIGUELINHO";47,82;21,37;24,73;6,08;-;100,00
"260590 GAMELEIRA";46,58;17,91;25,68;9,70;0,13;100,00
"260600 GARANHUNS";28,88;16,40;30,01;24,68;0,04;100,00
"260610 GLORIA DO GOITA";37,57;30,02;23,19;9,23;-;100,00
"260620 GOIANA";29,58;19,74;31,48;19,18;0,02;100,00
"260630 GRANITO";43,58;30,05;20,74;5,63;-;100,00
"260640 GRAVATA";40,66;18,64;26,77;13,93;-;100,00
"260650 IATI";65,75;17,27;13,43;3,56;-;100,00
"260660 IBIMIRIM";52,96;20,92;18,24;7,88;-;100,00
"260670 IBIRAJUBA";49,47;23,45;18,94;8,13;-;100,00
"260680 IGARASSU";30,43;18,82;34,94;15,78;0,03;100,00
"260690 IGUARACY";46,27;19,40;26,08;8,25;-;100,00
"260700 INAJA";68,10;13,42;13,61;4,87;-;100,00
"260710 INGAZEIRA";34,95;24,13;28,03;12,89;-;100,00
"260720 IPOJUCA";40,04;23,00;26,43;10,51;0,01;100,00
"260730 IPUBI";62,25;10,89;19,30;7,57;-;100,00
"260740 ITACURUBA";29,05;25,42;30,78;14,75;-;100,00
"260750 ITAIBA";65,91;14,70;14,33;5,06;-;100,00
"260760 ILHA DE ITAMARACA";20,74;23,71;34,20;21,29;0,05;100,00
"260765 ITAMBE";48,75;22,60;18,92;9,62;0,11;100,00
"260770 ITAPETIM";39,78;20,12;28,04;12,02;0,04;100,00
"260775 ITAPISSUMA";30,93;18,11;36,45;14,51;-;100,00
"260780 ITAQUITINGA";39,65;26,09;23,59;10,67;-;100,00
"260790 JABOATAO DOS GUARARAPES";16,44;14,60;35,81;33,10;0,04;100,00
"260800 JATAUBA";49,62;27,33;17,77;5,27;-;100,00
"260810 JOAO ALFREDO";54,26;18,76;18,97;7,96;0,05;100,00
"260820 JOAQUIM NABUCO";47,03;19,99;23,54;9,44;-;100,00
"260830 JUPI";47,79;23,54;21,75;6,92;-;100,00
"260840 JUREMA";57,61;25,85;13,40;3,14;-;100,00
"260850 LAGOA DE ITAENGA";31,42;34,20;25,70;8,67;-;100,00
"260860 LAGOA DO OURO";41,50;31,28;17,69;9,54;-;100,00
"260870 LAGOA DOS GATOS";64,81;15,07;13,90;6,22;-;100,00
"260880 LAJEDO";42,26;20,75;26,78;10,21;-;100,00
"260890 LIMOEIRO";31,85;18,94;30,09;19,10;0,02;100,00
"260900 MACAPARANA";44,15;18,94;24,09;12,81;-;100,00
"260910 MACHADOS";46,35;22,46;23,35;7,84;-;100,00
"260920 MARAIAL";61,41;13,73;16,99;7,88;-;100,00
"260930 MIRANDIBA";36,12;23,58;25,64;14,65;-;100,00
"260940 MORENO";24,81;18,39;36,41;20,38;-;100,00
"260950 NAZARE DA MATA";27,67;19,44;31,87;20,98;0,05;100,00
"260960 OLINDA";11,86;12,44;33,34;42,31;0,05;100,00
"260970 OROBO";37,21;30,81;23,63;8,27;0,08;100,00
"260980 OROCO";41,74;27,22;22,74;8,30;-;100,00
"260990 OURICURI";56,94;18,88;17,23;6,95;-;100,00
"261000 PALMARES";38,53;17,41;25,05;18,87;0,14;100,00
"261010 PALMEIRINA";47,61;23,31;21,82;7,27;-;100,00
"261020 PANELAS";61,00;23,73;10,59;4,69;-;100,00
"261030 PARANATAMA";55,84;25,04;15,51;3,61;-;100,00
"261040 PARNAMIRIM";44,94;21,27;23,54;10,25;-;100,00
"261050 PASSIRA";51,36;19,15;22,74;6,75;-;100,00
"261060 PAUDALHO";34,81;25,10;27,56;12,53;-;100,00
"261070 PAULISTA";11,07;11,11;36,12;41,54;0,16;100,00
"261080 PEDRA";48,79;23,23;18,51;9,46;-;100,00
"261090 PESQUEIRA";41,15;18,63;24,22;16,00;-;100,00
"261100 PETROLANDIA";32,52;16,57;30,55;20,20;0,17;100,00
"261110 PETROLINA";25,39;16,66;32,51;25,32;0,11;100,00
"261120 POCAO";44,03;31,43;18,19;6,35;-;100,00
"261130 POMBOS";54,04;16,92;21,33;7,71;-;100,00
"261140 PRIMAVERA";47,51;19,95;22,40;10,10;0,05;100,00
"261150 QUIPAPA";55,57;18,17;18,49;7,77;-;100,00
"261160 RECIFE";11,76;12,01;32,05;44,13;0,05;100,00
"261170 RIACHO DAS ALMAS";49,75;24,49;19,93;5,82;-;100,00
"261180 RIBEIRAO";45,17;14,78;23,58;16,42;0,05;100,00
"261190 RIO FORMOSO";43,75;21,95;23,08;11,16;0,06;100,00
"261200 SAIRE";43,41;28,19;23,27;5,12;-;100,00
"261210 SALGADINHO";44,43;30,01;20,08;5,48;-;100,00
"261220 SALGUEIRO";28,97;20,79;30,02;20,14;0,08;100,00
"261230 SALOA";45,71;26,76;20,40;7,12;-;100,00
"261240 SANHARO";38,80;25,25;23,99;11,85;0,11;100,00
"261250 SANTA CRUZ DO CAPIBARIBE";30,70;23,16;31,81;14,33;-;100,00
"261260 SANTA MARIA DA BOA VISTA";40,84;26,25;24,44;8,47;-;100,00
"261270 SANTA MARIA DO CAMBUCA";46,05;28,60;20,37;4,98;-;100,00
"261280 SANTA TEREZINHA";39,83;23,63;26,09;10,43;0,02;100,00
"261290 SAO BENEDITO DO SUL";65,89;15,15;13,38;5,58;-;100,00
"261300 SAO BENTO DO UNA";47,16;20,62;22,83;9,40;-;100,00
"261310 SAO CAITANO";51,19;17,81;23,11;7,89;-;100,00
"261320 SAO JOAO";46,84;27,93;19,79;5,44;-;100,00
"261330 SAO JOAQUIM DO MONTE";50,03;24,41;21,03;4,53;-;100,00
"261340 SAO JOSE DA COROA GRANDE";46,78;17,53;22,81;12,71;0,17;100,00
"261350 SAO JOSE DO BELMONTE";42,37;27,02;22,68;7,94;-;100,00
"261360 SAO JOSE DO EGITO";31,04;22,97;29,63;16,35;-;100,00
"261370 SAO LOURENCO DA MATA";28,36;17,47;34,02;20,07;0,07;100,00
"261380 SAO VICENTE FERRER";46,00;22,16;22,25;9,59;-;100,00
"261390 SERRA TALHADA";35,78;20,91;25,06;18,26;-;100,00
"261400 SERRITA";48,31;27,34;18,03;6,27;0,05;100,00
"261410 SERTANIA";37,12;21,84;26,54;14,50;-;100,00
"261420 SIRINHAEM";46,88;21,74;22,17;9,20;-;100,00
"261430 MOREILANDIA";43,59;22,96;22,86;10,59;-;100,00
"261440 SOLIDAO";48,61;18,02;23,37;10,01;-;100,00
"261450 SURUBIM";39,85;24,73;21,95;13,47;-;100,00
"261460 TABIRA";29,74;25,62;28,62;16,02;-;100,00
"261470 TACAIMBO";67,72;10,69;16,59;5,00;-;100,00
"261480 TACARATU";35,48;26,69;24,17;13,66;-;100,00
"261500 TAQUARITINGA DO NORTE";33,85;22,47;32,51;11,17;-;100,00
"261510 TEREZINHA";53,33;21,35;18,31;7,01;-;100,00
"261520 TERRA NOVA";36,69;19,03;30,73;13,54;-;100,00
"261530 TIMBAUBA";34,84;20,75;28,60;15,74;0,07;100,00
"261540 TORITAMA";26,30;26,76;32,58;14,36;-;100,00
"261550 TRACUNHAEM";36,23;30,42;26,60;6,67;0,08;100,00
"261560 TRINDADE";40,64;22,14;25,32;11,91;-;100,00
"261570 TRIUNFO";31,14;25,12;30,06;13,68;-;100,00
"261580 TUPANATINGA";66,63;17,07;11,75;4,55;-;100,00
"261590 TUPARETAMA";38,44;16,52;28,28;16,76;-;100,00
"261600 VENTUROSA";39,96;21,91;25,45;12,68;-;100,00
"261610 VERDEJANTE";47,05;16,61;23,56;12,78;-;100,00
"261620 VERTENTES";44,77;21,49;22,02;11,72;-;100,00
"261630 VICENCIA";47,15;20,42;23,23;9,19;-;100,00
"261640 VITORIA DE SANTO ANTAO";31,77;19,15;29,54;19,45;0,09;100,00
"270010 AGUA BRANCA";46,15;24,59;22,54;6,73;-;100,00
"270020 ANADIA";56,72;14,43;16,69;12,16;-;100,00
"270030 ARAPIRACA";36,92;18,96;25,87;18,19;0,06;100,00
"270040 ATALAIA";64,82;10,07;16,50;8,61;-;100,00
"270050 BARRA DE SANTO ANTONIO";54,22;15,14;21,48;9,16;-;100,00
"270060 BARRA DE SAO MIGUEL";53,43;17,72;18,91;9,94;-;100,00
"270070 BATALHA";54,52;16,81;17,33;11,23;0,11;100,00
"270080 BELEM";49,53;25,95;18,10;6,42;-;100,00
"270090 BELO MONTE";33,71;41,90;21,34;3,04;-;100,00
"270100 BOCA DA MATA";49,84;16,64;20,52;12,99;-;100,00
"270110 BRANQUINHA";71,85;11,46;11,98;4,71;-;100,00
"270120 CACIMBINHAS";62,03;15,16;14,67;7,89;0,25;100,00
"270130 CAJUEIRO";54,37;13,54;18,92;13,16;-;100,00
"270140 CAMPO ALEGRE";51,04;20,63;21,33;6,69;0,31;100,00
"270150 CAMPO GRANDE";60,97;23,32;11,95;3,75;-;100,00
"270160 CANAPI";60,58;20,96;15,17;3,15;0,14;100,00
"270170 CAPELA";55,25;17,06;18,37;9,33;-;100,00
"270180 CARNEIROS";30,81;39,18;22,97;7,05;-;100,00
"270190 CHA PRETA";54,66;24,73;16,01;4,49;0,11;100,00
"270200 COITE DO NOIA";59,14;21,93;13,87;5,06;-;100,00
"270210 COLONIA LEOPOLDINA";57,61;16,58;17,51;8,14;0,16;100,00
"270220 COQUEIRO SECO";29,17;31,23;29,28;10,32;-;100,00
"270230 CORURIPE";50,12;16,53;21,96;11,39;-;100,00
"270235 CRAIBAS";70,89;14,20;10,41;4,50;-;100,00
"270240 DELMIRO GOUVEIA";37,93;21,10;28,49;12,39;0,09;100,00
"270250 DOIS RIACHOS";53,61;24,15;15,85;6,38;-;100,00
"270260 FEIRA GRANDE";59,76;18,35;15,33;6,56;-;100,00
"270270 FELIZ DESERTO";40,84;28,68;22,21;8,26;-;100,00
"270280 FLEXEIRAS";59,97;14,76;19,76;5,51;-;100,00
"270290 GIRAU DO PONCIANO";65,03;13,44;16,30;5,15;0,08;100,00
"270300 IBATEGUARA";55,39;23,25;16,67;4,62;0,07;100,00
"270310 IGACI";61,30;16,45;17,66;4,59;-;100,00
"270320 IGREJA NOVA";62,99;13,66;18,80;4,55;-;100,00
"270330 INHAPI";69,27;12,77;13,56;4,40;-;100,00
"270340 JACARE DOS HOMENS";52,85;19,79;17,84;9,52;-;100,00
"270350 JACUIPE";68,93;10,20;16,48;4,39;-;100,00
"270360 JAPARATINGA";36,57;30,57;23,66;9,20;-;100,00
"270370 JARAMATAIA";66,52;14,34;14,81;4,32;-;100,00
"270380 JOAQUIM GOMES";66,86;14,78;14,47;3,77;0,11;100,00
"270390 JUNDIA";45,59;22,32;23,45;8,64;-;100,00
"270400 JUNQUEIRO";50,31;22,20;20,34;7,08;0,07;100,00
"270410 LAGOA DA CANOA";53,89;24,26;16,13;5,50;0,22;100,00
"270420 LIMOEIRO DE ANADIA";54,12;26,69;15,89;3,30;-;100,00
