 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"130360 SANTA ISABEL DO RIO NEGRO";46,11;30,30;19,38;4,21;-;100,00
"130370 SANTO ANTONIO DO ICA";59,15;22,62;12,69;5,55;-;100,00
"130380 SAO GABRIEL DA CACHOEIRA";29,88;23,34;33,37;13,41;-;100,00
"130390 SAO PAULO DE OLIVENCA";43,13;31,95;19,33;5,58;-;100,00
"130395 SAO SEBASTIAO DO UATUMA";18,16;21,65;46,44;13,75;-;100,00
"130400 SILVES";19,71;30,67;37,86;11,48;0,28;100,00
"130406 TABATINGA";29,10;25,23;31,89;13,78;-;100,00
"130410 TAPAUA";76,01;13,98;7,51;2,50;-;100,00
"130420 TEFE";32,77;22,74;30,47;14,01;-;100,00
"130423 TONANTINS";35,48;35,19;23,95;5,38;-;100,00
"130426 UARINI";41,17;35,03;19,34;4,47;-;100,00
"130430 URUCARA";17,56;30,15;36,44;15,85;-;100,00
"130440 URUCURITUBA";23,66;33,99;36,94;5,42;-;100,00
"140005 ALTO ALEGRE";48,62;13,16;27,21;10,77;0,24;100,00
"140010 BOA VISTA";16,28;14,05;35,90;33,00;0,77;100,00
"140015 BONFIM";41,00;23,89;26,39;8,72;-;100,00
"140020 CARACARAI";37,84;15,10;29,37;17,48;0,21;100,00
"140030 MUCAJAI";30,84;29,20;27,85;11,17;0,94;100,00
"140040 NORMANDIA";45,69;20,35;24,84;8,88;0,24;100,00
"140050 SAO JOAO DA BALIZA";34,64;27,25;26,61;9,15;2,35;100,00
"140060 SAO LUIZ";39,22;22,65;28,93;8,55;0,64;100,00
"150010 ABAETETUBA";27,51;31,35;25,63;15,47;0,04;100,00
"150020 ACARA";47,93;34,91;13,41;3,76;-;100,00
"150030 AFUA";60,76;19,59;14,07;5,59;-;100,00
"150040 ALENQUER";28,82;36,16;24,94;10,03;0,06;100,00
"150050 ALMEIRIM";27,64;23,38;27,67;21,02;0,31;100,00
"150060 ALTAMIRA";30,04;24,02;28,09;17,63;0,22;100,00
"150070 ANAJAS";69,56;21,76;7,29;1,40;-;100,00
"150080 ANANINDEUA";9,46;21,23;37,64;31,42;0,25;100,00
"150090 AUGUSTO CORREA";39,63;37,12;18,22;5,03;-;100,00
"150100 AVEIRO";28,74;31,37;32,10;7,65;0,14;100,00
"150110 BAGRE";49,49;34,96;13,25;1,92;0,39;100,00
"150120 BAIAO";24,66;35,11;29,18;11,00;0,06;100,00
"150130 BARCARENA";18,73;27,06;29,78;24,34;0,08;100,00
"150140 BELEM";6,78;14,89;33,88;44,23;0,23;100,00
"150150 BENEVIDES";17,30;24,98;38,16;19,43;0,12;100,00
"150157 BOM JESUS DO TOCANTINS";39,81;24,93;24,90;10,35;-;100,00
"150160 BONITO";54,02;25,70;15,93;4,35;-;100,00
"150170 BRAGANCA";29,01;33,19;25,65;12,07;0,09;100,00
"150175 BREJO GRANDE DO ARAGUAIA";46,35;27,01;19,71;6,93;-;100,00
"150180 BREVES";53,39;24,89;16,51;5,22;-;100,00
"150190 BUJARU";33,57;38,19;20,17;8,01;0,06;100,00
"150200 CACHOEIRA DO ARARI";26,80;36,23;29,44;7,53;-;100,00
"150210 CAMETA";19,01;42,27;27,51;11,01;0,20;100,00
"150220 CAPANEMA";19,69;28,51;31,94;19,84;0,03;100,00
"150230 CAPITAO POCO";44,82;30,19;17,26;7,60;0,13;100,00
"150240 CASTANHAL";16,98;23,62;35,38;23,77;0,25;100,00
"150250 CHAVES";47,19;38,15;12,88;1,78;-;100,00
"150260 COLARES";21,66;29,81;35,65;12,88;-;100,00
"150270 CONCEICAO DO ARAGUAIA";31,71;23,94;30,00;14,23;0,12;100,00
"150275 CONCORDIA DO PARA";34,62;37,99;22,16;5,23;-;100,00
"150277 CURIONOPOLIS";40,44;26,96;24,25;8,35;-;100,00
"150280 CURRALINHO";45,44;34,33;15,19;5,05;-;100,00
"150290 CURUCA";15,11;37,35;35,18;12,30;0,06;100,00
"150293 DOM ELISEU";43,08;23,89;23,12;9,90;-;100,00
"150300 FARO";19,26;36,59;34,76;9,38;-;100,00
"150307 GARRAFAO DO NORTE";60,93;24,59;10,95;3,38;0,16;100,00
"150310 GURUPA";56,53;30,41;11,15;1,92;-;100,00
"150320 IGARAPE-ACU";29,17;32,58;25,23;12,99;0,03;100,00
"150330 IGARAPE-MIRI";32,37;36,42;23,05;8,11;0,05;100,00
"150340 INHANGAPI";25,53;38,98;25,05;10,44;-;100,00
"150350 IRITUIA";33,10;40,59;20,07;6,17;0,07;100,00
"150360 ITAITUBA";33,45;25,48;28,89;12,17;-;100,00
"150370 ITUPIRANGA";46,10;29,42;19,61;4,84;0,05;100,00
"150380 JACUNDA";38,56;28,20;25,69;7,52;0,03;100,00
"150390 JURUTI";24,69;38,95;30,95;5,21;0,20;100,00
